token,symbol,ltp,level,taps
197633,DABUR,521.25,525.0,60
197633,DABUR,521.25,503.65,53
197633,DABUR,521.25,517.0,44
369153,SANOFI,6250.0,6233.85,42
119553,HDFCLIFE,642.65,647.6,41
81153,BAJFINANCE,6828.4,6801.0,33
3471361,GRINDWELL,2168.6,2149.15,33
1346049,INDUSINDBK,996.9,990.0,29
121345,3MINDIA,31284.8,31000.0,27
2911489,BIOCON,373.2,363.25,26
5097729,DMART,3853.0,3881.25,25
2452737,METROPOLIS,2101.1,2109.0,24
119553,HDFCLIFE,642.65,657.1,24
4752385,LTTS,5325.6,5295.0,22
462849,KAJARIACER,1205.2,1212.0,22
126721,BLUEDART,7480.0,7500.0,21
958465,FINEORG,5103.4,5125.0,21
2402561,PNCINFRA,308.95,310.1,21
369153,SANOFI,6250.0,6333.95,20
122881,BIRLACORPN,1263.0,1268.0,20
2031617,AVANTIFEED,603.35,598.5,20
2911489,BIOCON,373.2,370.15,19
12289,HAPPSTMNDS,760.5,785.6,19
1459457,CUB,185.38,183.95,18
151553,GRAPHITE,570.15,587.0,18
3612417,NETWORK18,79.1,78.4,18
958465,FINEORG,5103.4,5164.9,18
3691009,ASTRAL,1825.05,1829.9,17
958465,FINEORG,5103.4,5120.0,17
3689729,PAGEIND,45852.6,45600.0,17
3078145,ACI,688.55,689.0,17
126721,BLUEDART,7480.0,7480.0,16
738561,RELIANCE,1321.45,1311.3,15
3453697,JKLAKSHMI,817.05,816.0,15
151553,GRAPHITE,570.15,573.0,15
2396673,CAMPUS,294.8,296.5,15
947969,VIPIND,502.5,505.65,15
3612417,NETWORK18,79.1,77.2,14
1252353,SAREGAMA,520.0,516.15,14
6483969,APLLTD,1091.6,1094.0,13
126721,BLUEDART,7480.0,7644.55,12
738561,RELIANCE,1321.45,1313.0,12
6988033,RTNINDIA,71.3,71.0,12
3912449,KNRCON,331.65,343.9,11
1292545,CLEAN,1285.65,1280.0,11
3689729,PAGEIND,45852.6,46737.7,11
3912449,KNRCON,331.65,329.85,11
738561,RELIANCE,1321.45,1361.2,9
912129,ADANIGREEN,1228.4,1220.0,9
738561,RELIANCE,1321.45,1361.25,9
12289,HAPPSTMNDS,760.5,763.25,8
526337,HOMEFIRST,1055.0,1061.0,8
4488705,MGL,1289.9,1284.4,8
1793,AARTIIND,448.85,438.0,8
1793,AARTIIND,448.85,445.0,7
416513,LINDEINDIA,6820.0,6790.0,7
3397121,JKCEMENT,4608.35,4575.0,7
5105409,DEEPAKNTR,2704.5,2690.05,7
245249,ESCORTS,3433.0,3440.15,7
5533185,ABCAPITAL,199.2,199.3,7
2455041,POLYCAB,7298.0,7331.45,6
4610817,WHIRLPOOL,1888.65,1905.0,6
1376769,ASAHIINDIA,722.2,722.0,6
3397121,JKCEMENT,4608.35,4599.95,6
2408449,RAINBOW,1645.3,1649.0,6
962817,RITES,286.8,287.75,6
4488705,MGL,1289.9,1257.0,5
3197185,SWSOLAR,507.5,509.1,5
2983681,JBMA,1623.45,1607.65,4
637185,ISEC,892.0,896.05,4
784129,VEDL,471.15,475.75,3
1304833,ZOMATO,298.4,298.25,2
1813249,STARHEALTH,492.0,491.35,2
1829121,ANANDRATHI,4354.25,4382.0,1
