token,symbol,ltp,level,taps
197633,DABUR,527.15,525.0,61
369153,SANOFI,6255.1,6233.85,43
119553,HDFCLIFE,653.85,647.6,40
1394945,CHEMPLASTS,500.0,500.0,37
4879617,MANAPPURAM,155.91,158.3,33
4879617,MANAPPURAM,155.91,156.1,32
2479361,TRIDENT,33.54,33.5,30
871681,TATACHEM,1114.95,1110.85,30
2713345,GUJGASLTD,478.2,478.05,26
119553,HDFCLIFE,653.85,656.0,22
4752385,LTTS,5294.4,5295.0,22
119553,HDFCLIFE,653.85,657.1,22
2031617,AVANTIFEED,586.9,564.0,22
369153,SANOFI,6255.1,6333.95,20
163073,CHAMBLFERT,515.5,516.0,17
225537,DRREDDY,1203.75,1197.95,16
2953217,TCS,4266.65,4254.75,15
3406081,CENTURYPLY,725.1,710.0,14
2031617,AVANTIFEED,586.9,587.0,13
3406081,CENTURYPLY,725.1,722.1,12
6483969,APLLTD,1093.2,1094.0,11
341249,HDFCBANK,1790.0,1721.4,10
969473,WIPRO,578.6,579.9,9
2863105,IDFCFIRSTB,64.45,64.3,8
2076161,AWL,314.9,320.1,8
4818433,ENDURANCE,2314.75,2318.8,8
526337,HOMEFIRST,1058.5,1061.0,8
1215745,CONCOR,829.1,828.75,6
2455041,POLYCAB,7299.15,7331.45,6
3663105,INDIANB,573.5,573.75,6
731905,RAYMOND,1629.7,1635.3,6
2076161,AWL,314.9,315.5,6
4834049,SJVN,115.1,114.55,5
1883649,DATAPATTNS,2482.0,2485.0,4
2883073,IGL,320.0,321.0,3
189185,COROMANDEL,1793.85,1789.0,3
1076225,MOTHERSON,162.36,162.75,3
5728513,MAXHEALTH,980.5,979.9,3
579329,BANDHANBNK,168.35,169.15,2
341249,HDFCBANK,1790.0,1794.0,1
2622209,SYNGENE,941.65,945.25,1
