token,symbol,ltp,level,taps
3365633,PVRINOX,1458.7,1465.0,38
5097729,DMART,3638.0,3644.3,36
4268801,BAJAJFINSV,1657.15,1664.9,29
3785729,SPARC,211.65,210.9,26
6386689,LTF,145.11,144.6,22
1719809,SAPPHIRE,312.4,314.8,19
3712257,BALAMINES,2002.5,2002.25,15
4589313,BAYERCROP,6211.55,6201.25,15
815617,SKFINDIA,4840.6,4820.0,14
12289,HAPPSTMNDS,744.1,749.1,12
3712257,BALAMINES,2002.5,2000.0,12
3712257,BALAMINES,2002.5,2009.2,11
4488705,MGL,1284.7,1284.4,10
6386689,LTF,145.11,140.2,10
912129,ADANIGREEN,1215.05,1220.0,10
6191105,PIIND,3993.65,3920.0,8
4610817,WHIRLPOOL,1913.95,1905.0,7
1719809,SAPPHIRE,312.4,313.55,7
3460353,EMAMILTD,589.95,588.6,7
2622209,SYNGENE,862.2,860.25,6
4488705,MGL,1284.7,1257.0,6
6191105,PIIND,3993.65,4011.15,5
2880769,WELSPUNLIV,170.25,170.7,5
3920129,IRB,58.3,58.25,5
1076225,MOTHERSON,162.32,162.75,4
12289,HAPPSTMNDS,744.1,741.0,4
3460353,EMAMILTD,589.95,583.25,4
3712257,BALAMINES,2002.5,1960.0,1
