token,symbol,ltp,level,taps
197633,DABUR,525.55,525.0,61
356865,HINDUNILVR,2463.85,2393.0,51
794369,SHREECEM,25589.8,25725.05,48
794369,SHREECEM,25589.8,25550.0,48
356865,HINDUNILVR,2463.85,2456.95,46
794369,SHREECEM,25589.8,26340.0,43
369153,SANOFI,6180.0,6233.85,43
4488705,MGL,1180.1,1180.35,40
119553,HDFCLIFE,653.0,647.6,40
356865,HINDUNILVR,2463.85,2442.9,39
794369,SHREECEM,25589.8,25355.0,38
1394945,CHEMPLASTS,500.05,500.0,37
4879617,MANAPPURAM,155.9,158.3,33
4879617,MANAPPURAM,155.9,156.1,32
871681,TATACHEM,1100.75,1110.85,30
2259969,GAEL,123.8,125.0,29
2911489,BIOCON,365.5,363.25,26
1346049,INDUSINDBK,993.15,990.0,25
4589313,BAYERCROP,5660.0,5667.75,25
4879617,MANAPPURAM,155.9,154.55,24
119553,HDFCLIFE,653.0,656.0,22
119553,HDFCLIFE,653.0,657.1,22
4752385,LTTS,5258.55,5295.0,22
462849,KAJARIACER,1209.95,1212.0,21
369153,SANOFI,6180.0,6333.95,20
6386689,LTF,143.86,144.6,20
325121,AMBUJACEM,515.0,518.35,19
126721,BLUEDART,7495.7,7500.0,19
3649281,REDINGTON,197.22,202.3,19
958465,FINEORG,5188.55,5125.0,19
2911489,BIOCON,365.5,370.15,19
122881,BIRLACORPN,1215.2,1211.05,19
81153,BAJFINANCE,6532.25,6492.6,18
958465,FINEORG,5188.55,5120.0,17
2964481,WESTLIFE,757.65,750.8,17
225537,DRREDDY,1192.3,1197.95,16
958465,FINEORG,5188.55,5164.9,16
2953217,TCS,4257.5,4254.75,15
3691009,ASTRAL,1819.0,1829.9,15
126721,BLUEDART,7495.7,7480.0,15
3078145,ACI,692.05,689.0,15
947969,VIPIND,500.85,505.65,15
67329,ATUL,7249.35,7225.0,14
2479361,TRIDENT,33.08,33.15,14
4632577,JUBLFOOD,641.75,643.1,13
126721,BLUEDART,7495.7,7644.55,12
40193,APOLLOHOSP,6835.0,6874.45,12
637185,ISEC,870.9,866.45,10
6386689,LTF,143.86,140.2,10
895745,TATASTEEL,143.76,142.35,9
56321,IEX,175.09,173.35,9
4708097,RBLBANK,157.34,156.1,9
36865,GODREJAGRO,751.35,746.8,9
4843777,VBL,630.0,624.8,8
1793,AARTIIND,448.0,438.0,8
6191105,PIIND,4051.6,3920.0,8
2076161,AWL,313.9,320.1,8
1292545,CLEAN,1285.8,1280.0,8
2863105,IDFCFIRSTB,64.35,64.3,8
3812865,CENTRALBK,56.22,56.0,7
3649281,REDINGTON,197.22,196.0,7
4378881,SUMICHEM,537.2,540.8,7
3663105,INDIANB,575.7,573.75,6
3520001,FLUOROCHEM,3930.0,3920.0,6
3905025,CEATLTD,2983.1,2998.45,6
962817,RITES,289.75,292.0,6
5105409,DEEPAKNTR,2716.7,2690.05,6
2076161,AWL,313.9,315.5,6
85761,BALKRISIND,2725.8,2753.05,5
345089,HEROMOTOCO,4801.5,4849.05,5
6191105,PIIND,4051.6,4011.15,5
1793,AARTIIND,448.0,445.0,5
962817,RITES,289.75,287.75,4
1883649,DATAPATTNS,2465.45,2485.0,4
193793,CRISIL,5308.4,5268.5,4
85761,BALKRISIND,2725.8,2723.8,4
108033,BHARATFORG,1331.3,1330.0,3
1076225,MOTHERSON,162.19,162.75,3
5728513,MAXHEALTH,980.9,979.9,3
102145,NIACL,194.3,192.45,3
2883073,IGL,319.4,321.0,3
6191105,PIIND,4051.6,4040.0,2
87553,CAMS,4888.0,4910.0,2
341249,HDFCBANK,1794.05,1794.0,1
