token,symbol,ltp,level,taps
356865,HINDUNILVR,2447.65,2393.0,51
119553,HDFCLIFE,688.95,710.6,44
356865,HINDUNILVR,2447.65,2456.95,43
356865,HINDUNILVR,2447.65,2442.9,38
119553,HDFCLIFE,688.95,690.85,38
3365633,PVRINOX,1466.2,1465.0,37
356865,HINDUNILVR,2447.65,2350.0,36
871681,TATACHEM,1071.7,1050.3,29
3365633,PVRINOX,1466.2,1469.25,29
871681,TATACHEM,1071.7,1069.95,28
3400961,M&MFIN,264.5,265.7,22
4600577,SBICARD,680.05,695.55,22
4752385,LTTS,5308.4,5295.0,21
6386689,LTF,139.66,144.6,20
958465,FINEORG,5184.65,5125.0,19
2031617,AVANTIFEED,596.05,598.5,19
758529,SAIL,112.89,112.35,18
462849,KAJARIACER,1170.9,1168.0,17
126721,BLUEDART,7500.05,7500.0,17
56321,IEX,163.2,163.75,17
1376769,ASAHIINDIA,650.5,637.45,15
3378433,GSPL,332.2,332.4,15
958465,FINEORG,5184.65,5120.0,15
958465,FINEORG,5184.65,5164.9,15
126721,BLUEDART,7500.05,7480.0,15
2953217,TCS,4246.5,4254.75,14
1252353,SAREGAMA,457.95,458.8,13
126721,BLUEDART,7500.05,7644.55,12
1745409,LATENTVIEW,446.0,430.0,12
122881,BIRLACORPN,1098.55,1095.5,10
1850113,MAPMYINDIA,1603.4,1600.0,10
6386689,LTF,139.66,140.2,10
895745,TATASTEEL,142.95,142.35,9
6483969,APLLTD,1042.45,1038.0,9
1745409,LATENTVIEW,446.0,444.0,9
1376769,ASAHIINDIA,650.5,651.0,9
2964481,WESTLIFE,707.45,708.95,8
2763009,SYRMA,526.45,528.85,8
2863105,IDFCFIRSTB,64.13,64.3,7
1790465,BSOFT,562.05,564.6,6
3660545,PFC,478.1,477.8,6
3078657,RENUKA,39.25,39.4,5
2995969,ALKEM,5562.0,5520.0,5
2995969,ALKEM,5562.0,5578.8,5
4600577,SBICARD,680.05,678.9,5
519937,M&M,3011.5,3013.5,4
3078657,RENUKA,39.25,39.3,4
3492609,ELECON,561.7,561.0,4
579329,BANDHANBNK,169.95,169.15,1
