token,symbol,ltp,level,taps
197633,DABUR,506.95,503.65,53
356865,HINDUNILVR,2397.35,2393.0,51
197633,DABUR,506.95,504.1,46
197633,DABUR,506.95,517.0,44
369153,SANOFI,6245.45,6233.85,42
356865,HINDUNILVR,2397.35,2442.9,39
356865,HINDUNILVR,2397.35,2428.1,38
3691009,ASTRAL,1847.15,1898.45,38
4268801,BAJAJFINSV,1663.4,1725.0,34
3471361,GRINDWELL,2160.2,2149.15,33
1346049,INDUSINDBK,984.3,990.0,29
4268801,BAJAJFINSV,1663.4,1664.9,27
121345,3MINDIA,31275.8,31000.0,27
2911489,BIOCON,369.2,363.25,26
794369,SHREECEM,27119.3,27049.0,25
2745857,INDIAMART,2377.35,2393.35,23
462849,KAJARIACER,1209.85,1212.0,22
7977729,RHIM,566.35,570.55,22
2402561,PNCINFRA,309.6,310.1,21
958465,FINEORG,5189.15,5125.0,21
2060801,MAHLIFE,512.8,515.6,20
369153,SANOFI,6245.45,6333.95,20
12289,HAPPSTMNDS,761.5,785.6,19
1510401,AXISBANK,1153.65,1151.85,19
2911489,BIOCON,369.2,370.15,19
2060801,MAHLIFE,512.8,515.15,19
958465,FINEORG,5189.15,5164.9,18
3612417,NETWORK18,78.4,78.4,18
197633,DABUR,506.95,489.2,17
895745,TATASTEEL,150.32,149.85,17
958465,FINEORG,5189.15,5120.0,17
3691009,ASTRAL,1847.15,1829.9,17
3689729,PAGEIND,46804.25,45600.0,17
126721,BLUEDART,7670.05,7480.0,16
2396673,CAMPUS,298.1,296.5,15
3612417,NETWORK18,78.4,77.2,14
4589313,BAYERCROP,6209.7,6201.25,14
6483969,APLLTD,1104.6,1094.0,13
7977729,RHIM,566.35,576.0,13
126721,BLUEDART,7670.05,7644.55,12
3453697,JKLAKSHMI,855.5,850.0,11
912129,ADANIGREEN,1176.65,1184.85,11
3712257,BALAMINES,2023.55,2000.0,11
4561409,LTIM,6579.3,6442.0,11
3689729,PAGEIND,46804.25,46737.7,11
1152769,MPHASIS,3181.8,3187.8,11
85761,BALKRISIND,2819.1,2795.5,10
7977729,RHIM,566.35,568.1,10
3712257,BALAMINES,2023.55,2009.2,10
2090753,MANYAVAR,1377.3,1379.0,10
408065,INFY,1948.55,1953.9,9
4378881,SUMICHEM,545.7,540.8,9
239873,ELGIEQUIP,621.6,623.0,9
12289,HAPPSTMNDS,761.5,763.25,8
1793,AARTIIND,447.6,438.0,8
4488705,MGL,1287.8,1284.4,8
4818433,ENDURANCE,2336.5,2318.8,8
416513,LINDEINDIA,6735.25,6790.0,7
3397121,JKCEMENT,4599.0,4575.0,7
5533185,ABCAPITAL,200.13,199.3,7
1793,AARTIIND,447.6,445.0,7
2880769,WELSPUNLIV,172.7,171.25,6
3397121,JKCEMENT,4599.0,4599.95,6
4488705,MGL,1287.8,1257.0,5
189185,COROMANDEL,1780.35,1789.0,5
2873089,UCOBANK,48.73,48.45,5
3920129,IRB,58.75,58.25,4
152321,CARBORUNIV,1339.05,1340.5,4
2585345,GODREJCP,1133.85,1138.0,4
4561409,LTIM,6579.3,6574.95,4
82945,ANGELONE,3392.2,3393.0,4
2585345,GODREJCP,1133.85,1140.05,3
1304833,ZOMATO,295.85,298.25,2
2939649,LT,3923.15,3919.9,1
860929,SUPREMEIND,4921.85,4888.0,1
806401,SIEMENS,7890.4,8129.9,1
806401,SIEMENS,7890.4,7968.7,1
5728513,MAXHEALTH,1117.15,1118.0,1
3712257,BALAMINES,2023.55,1960.0,1
