token,symbol,ltp,level,taps
275457,ZENSARTECH,805.95,809.8,40
6013185,BHARTIHEXA,1406.65,1419.05,18
895745,TATASTEEL,150.6,149.85,17
3912449,KNRCON,345.0,343.9,11
54273,ASHOKLEY,231.18,231.05,11
369153,SANOFI,6193.95,6030.0,10
369153,SANOFI,6193.95,6135.0,9
4268801,BAJAJFINSV,1686.5,1730.0,8
5177345,JWL,552.3,552.2,8
342017,HEG,568.5,581.1,7
3197185,SWSOLAR,508.25,510.0,7
2455041,POLYCAB,7401.25,7331.45,6
3197185,SWSOLAR,508.25,507.5,5
408065,INFY,1974.15,1977.5,4
6936321,SWANENERGY,780.4,764.4,3
1391361,APTUS,311.85,308.8,3
342017,HEG,568.5,571.3,2
54273,ASHOKLEY,231.18,239.9,2
987393,VARROC,594.05,588.45,2
4268801,BAJAJFINSV,1686.5,1681.15,2
261889,FEDERALBNK,214.68,213.55,2
3785729,SPARC,217.08,215.0,2
6936321,SWANENERGY,780.4,782.25,1
6054401,MUTHOOTFIN,2064.5,2078.75,1
79873,TIINDIA,3680.2,3652.25,1
7995905,SCHNEIDER,827.55,833.95,1
