token,symbol,levels,ltp
233729,EQUITASBNK,"((76.8, '2021-07'), 5)",77.21
3912449,KNRCON,"((343.9, '2021-09'), 8)",343.75
2863105,IDFCFIRSTB,"((75.05, '2024-03'), 13)",74.35
211713,DEEPAKFERT,"((1062.0, '2022-10'), 3)",1066.75
2889473,UPL,"((582.75, '2022-06'), 25)",588.15
2889473,UPL,"((596.65, '2022-02'), 14)",588.15
2983425,LALPATHLAB,"((3399.3, '2021-04'), 10)",3302.7
2983425,LALPATHLAB,"((3285.1, '2021-10'), 7)",3302.7
3463169,GMRINFRA,"((94.35, '2024-02'), 6)",94.06
3400961,M&MFIN,"((340.25, '2023-07'), 2)",338.35
2873089,UCOBANK,"((48.45, '2023-09'), 1)",48.24
341249,HDFCBANK,"((1721.4, '2023-12'), 6)",1732.05
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1732.05
341249,HDFCBANK,"((1722.1, '2022-04'), 6)",1732.05
341249,HDFCBANK,"((1725.0, '2021-10'), 3)",1732.05
341249,HDFCBANK,"((1757.5, '2023-07'), 2)",1732.05
81153,BAJFINANCE,"((7590.9, '2022-04'), 21)",7703.0
81153,BAJFINANCE,"((7778.0, '2022-09'), 16)",7703.0
81153,BAJFINANCE,"((7999.9, '2023-07'), 5)",7703.0
4610817,WHIRLPOOL,"((2309.95, '2020-07'), 13)",2289.6
2800641,DIVISLAB,"((5425.1, '2021-10'), 1)",5443.35
