token,symbol,levels,ltp
303361,AMBER,"((4614.2, '2024-01'), 4)",4658.75
211713,DEEPAKFERT,"((1062.0, '2022-10'), 3)",1065.7
2889473,UPL,"((582.75, '2022-06'), 25)",585.75
2889473,UPL,"((596.65, '2022-02'), 14)",585.75
2983425,LALPATHLAB,"((3399.3, '2021-04'), 10)",3271.85
2983425,LALPATHLAB,"((3285.1, '2021-10'), 7)",3271.85
3463169,GMRINFRA,"((94.35, '2024-02'), 6)",95.09
8042241,NBCC,"((117.9, '2024-02'), 3)",118.27
2873089,UCOBANK,"((48.45, '2023-09'), 1)",48.81
341249,HDFCBANK,"((1757.5, '2023-07'), 2)",1752.65
341249,HDFCBANK,"((1721.4, '2023-12'), 6)",1752.65
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1752.65
4598529,NESTLEIND,"((2769.3, '2024-01'), 1)",2745.7
81153,BAJFINANCE,"((7830.0, '2024-01'), 19)",7756.0
81153,BAJFINANCE,"((7590.9, '2022-04'), 21)",7756.0
81153,BAJFINANCE,"((7778.0, '2022-09'), 16)",7756.0
81153,BAJFINANCE,"((7999.9, '2023-07'), 5)",7756.0
2393089,IOB,"((58.6, '2024-06'), 2)",58.36
2800641,DIVISLAB,"((5425.1, '2021-10'), 1)",5457.9
