token,symbol,levels,ltp
2031617,AVANTIFEED,"((674.85, '2021-07'), 5)",672.25
381697,IFCI,"((71.8, '2024-02'), 7)",71.1
3660545,PFC,"((477.8, '2024-02'), 4)",481.9
2912513,MAHABANK,"((59.0, '2024-06'), 4)",58.42
2983425,LALPATHLAB,"((3399.3, '2021-04'), 10)",3291.9
2983425,LALPATHLAB,"((3285.1, '2021-10'), 7)",3291.9
3463169,GMRINFRA,"((94.35, '2024-02'), 6)",94.53
5215745,COALINDIA,"((471.85, '2024-02'), 14)",475.2
3078145,ACI,"((689.0, '2023-10'), 9)",695.65
306177,KANSAINER,"((301.0, '2023-11'), 27)",302.15
341249,HDFCBANK,"((1721.4, '2023-12'), 6)",1741.2
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1741.2
341249,HDFCBANK,"((1722.1, '2022-04'), 6)",1741.2
341249,HDFCBANK,"((1725.0, '2021-10'), 3)",1741.2
341249,HDFCBANK,"((1757.5, '2023-07'), 2)",1741.2
81153,BAJFINANCE,"((7778.0, '2022-09'), 16)",7582.45
81153,BAJFINANCE,"((7590.9, '2022-04'), 21)",7582.45
4610817,WHIRLPOOL,"((2067.3, '2021-05'), 35)",2062.3
2393089,IOB,"((58.6, '2024-06'), 2)",58.44
149249,CANFINHOME,"((859.9, '2024-02'), 7)",862.65
2800641,DIVISLAB,"((5425.1, '2021-10'), 1)",5450.75
4923905,LAURUSLABS,"((471.0, '2024-04'), 15)",467.35
