token,symbol,levels,ltp
348929,HINDALCO,"((715.25, '2024-06'), 1)",717.85
3912449,KNRCON,"((329.85, '2022-02'), 6)",342.95
3912449,KNRCON,"((343.9, '2021-09'), 8)",342.95
873217,TATAELXSI,"((7947.0, '2023-06'), 18)",7920.25
2889473,UPL,"((582.75, '2022-06'), 25)",579.15
2889473,UPL,"((596.65, '2022-02'), 14)",579.15
877057,TATAPOWER,"((464.2, '2024-05'), 2)",468.75
341249,HDFCBANK,"((1757.5, '2023-07'), 2)",1768.05
341249,HDFCBANK,"((1721.4, '2023-12'), 6)",1768.05
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1768.05
81153,BAJFINANCE,"((7778.0, '2022-09'), 16)",7554.2
81153,BAJFINANCE,"((7590.9, '2022-04'), 21)",7554.2
4610817,WHIRLPOOL,"((2067.3, '2021-05'), 35)",2064.55
492033,KOTAKBANK,"((1926.5, '2023-12'), 37)",1914.7
558337,BOSCHLTD,"((36678.0, '2024-06'), 1)",36703.3
149249,CANFINHOME,"((859.9, '2024-02'), 7)",861.4
2800641,DIVISLAB,"((5425.1, '2021-10'), 1)",5375.8
5051137,GPPL,"((225.35, '2024-04'), 6)",224.33
4923905,LAURUSLABS,"((471.0, '2024-04'), 15)",470.25
