token,symbol,levels,ltp
2031617,AVANTIFEED,"((638.8, '2022-01'), 11)",644.55
4843777,VBL,"((624.8, '2024-02'), 7)",626.85
3912449,KNRCON,"((329.85, '2022-02'), 6)",342.6
3912449,KNRCON,"((343.9, '2021-09'), 8)",342.6
211713,DEEPAKFERT,"((1062.0, '2022-10'), 3)",1071.3
3660545,PFC,"((477.8, '2024-02'), 4)",480.45
2983425,LALPATHLAB,"((3399.3, '2021-04'), 10)",3281.2
2983425,LALPATHLAB,"((3285.1, '2021-10'), 7)",3281.2
3463169,GMRINFRA,"((94.35, '2024-02'), 6)",94.11
3078145,ACI,"((689.0, '2023-10'), 9)",691.2
3400961,M&MFIN,"((340.25, '2023-07'), 2)",340.5
2873089,UCOBANK,"((48.45, '2023-09'), 1)",48.55
4598529,NESTLEIND,"((2769.3, '2024-01'), 1)",2755.5
3630081,NSLNISP,"((51.9, '2024-06'), 11)",51.58
81153,BAJFINANCE,"((7830.0, '2024-01'), 19)",7768.4
81153,BAJFINANCE,"((7590.9, '2022-04'), 21)",7768.4
81153,BAJFINANCE,"((7778.0, '2022-09'), 16)",7768.4
81153,BAJFINANCE,"((7999.9, '2023-07'), 5)",7768.4
2393089,IOB,"((58.6, '2024-06'), 2)",58.67
2800641,DIVISLAB,"((5425.1, '2021-10'), 1)",5379.3
