token,symbol,levels,ltp
2031617,AVANTIFEED,"((674.85, '2021-07'), 5)",672.8
3912449,KNRCON,"((329.85, '2022-02'), 6)",328.25
2983425,LALPATHLAB,"((3399.3, '2021-04'), 10)",3287.95
2983425,LALPATHLAB,"((3285.1, '2021-10'), 7)",3287.95
3463169,GMRINFRA,"((94.35, '2024-02'), 6)",95.29
3078145,ACI,"((689.0, '2023-10'), 9)",691.0
8042241,NBCC,"((117.9, '2024-02'), 3)",117.85
306177,KANSAINER,"((301.0, '2023-11'), 27)",303.8
341249,HDFCBANK,"((1757.5, '2023-07'), 2)",1759.8
341249,HDFCBANK,"((1721.4, '2023-12'), 6)",1759.8
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1759.8
3630081,NSLNISP,"((51.9, '2024-06'), 11)",52.01
81153,BAJFINANCE,"((7778.0, '2022-09'), 16)",7595.1
81153,BAJFINANCE,"((7590.9, '2022-04'), 21)",7595.1
492033,KOTAKBANK,"((1951.75, '2022-05'), 43)",1934.7
492033,KOTAKBANK,"((1997.55, '2022-11'), 18)",1934.7
492033,KOTAKBANK,"((1926.5, '2023-12'), 37)",1934.7
558337,BOSCHLTD,"((36678.0, '2024-06'), 1)",36461.9
2800641,DIVISLAB,"((5425.1, '2021-10'), 1)",5372.85
4923905,LAURUSLABS,"((471.0, '2024-04'), 15)",474.7
3471361,GRINDWELL,"((2328.35, '2022-09'), 18)",2350.25
