token,symbol,levels,ltp
348929,HINDALCO,"((715.25, '2024-06'), 1)",718.45
784129,VEDL,"((475.75, '2024-05'), 1)",479.85
3912449,KNRCON,"((343.9, '2021-09'), 8)",345.4
2730497,PNB,"((104.2, '2024-06'), 1)",105.05
211713,DEEPAKFERT,"((1062.0, '2022-10'), 3)",1062.8
3463169,GMRINFRA,"((94.35, '2024-02'), 6)",94.52
3078145,ACI,"((689.0, '2023-10'), 9)",687.9
2873089,UCOBANK,"((48.45, '2023-09'), 1)",48.55
877057,TATAPOWER,"((464.2, '2024-05'), 2)",468.1
81153,BAJFINANCE,"((7778.0, '2022-09'), 16)",7623.9
81153,BAJFINANCE,"((7590.9, '2022-04'), 21)",7623.9
2393089,IOB,"((58.6, '2024-06'), 2)",58.6
558337,BOSCHLTD,"((36678.0, '2024-06'), 1)",36961.25
149249,CANFINHOME,"((859.9, '2024-02'), 7)",868.05
2800641,DIVISLAB,"((5425.1, '2021-10'), 1)",5394.3
