stocks,levels
BLSE,"{""266.7"": 3, ""343.3"": 2, ""291.0"": 8, ""221.25"": 10, ""205.0"": 11, ""267.99"": 4, ""197.82"": 5, ""249.0"": 6, ""203.55"": 2, ""227.95"": 4, ""218.4"": 13}"
BSOFT,"{""73.35"": 7, ""61.1"": 4, ""76.0"": 4, ""64.8"": 5, ""69.1"": 7, ""105.8"": 3, ""46.7"": 1, ""78.0"": 5, ""62.55"": 1, ""187.7"": 5, ""206.5"": 4, ""210.4"": 1, ""172.2"": 5, ""276.0"": 8, ""282.0"": 16, ""236.0"": 3, ""285.0"": 10, ""223.0"": 1, ""278.8"": 18, ""215.9"": 1, ""421.35"": 16, ""434.85"": 16, ""441.3"": 9, ""457.8"": 6, ""395.2"": 10, ""445.8"": 8, ""393.2"": 13, ""513.95"": 6, ""457.75"": 6, ""585.85"": 12, ""431.0"": 9, ""380.0"": 7, ""501.6"": 7, ""338.25"": 11, ""316.45"": 7, ""378.0"": 9, ""306.8"": 7, ""354.95"": 10, ""342.0"": 13, ""260.55"": 8, ""334.7"": 21, ""277.75"": 17, ""312.6"": 9, ""250.25"": 11, ""250.5"": 11, ""251.9"": 15, ""355.45"": 9, ""535.55"": 12, ""472.4"": 11, ""670.4"": 8, ""861.85"": 1, ""712.45"": 7, ""789.9"": 6, ""564.6"": 11, ""565.3"": 14, ""760.45"": 6, ""550.85"": 7, ""689.15"": 6, ""536.3"": 10, ""624.35"": 14}"
CIGNITITEC,"{""262.0"": 9, ""341.55"": 6, ""283.55"": 7, ""266.5"": 7, ""252.05"": 5, ""303.9"": 5, ""180.1"": 1, ""277.9"": 14, ""178.8"": 1, ""267.85"": 10, ""327.85"": 7, ""253.0"": 5, ""334.1"": 6, ""281.5"": 10, ""504.9"": 12, ""390.6"": 13, ""449.4"": 17, ""366.8"": 4, ""446.95"": 9, ""352.35"": 5, ""310.25"": 19, ""439.0"": 13, ""362.65"": 2, ""678.0"": 1, ""495.5"": 12, ""590.0"": 42, ""646.5"": 4, ""556.25"": 15, ""670.8"": 1, ""533.35"": 11, ""609.8"": 16, ""487.0"": 11, ""410.0"": 12, ""494.8"": 11, ""334.65"": 9, ""472.0"": 9, ""415.0"": 17, ""609.55"": 13, ""555.5"": 18, ""600.0"": 13, ""516.6"": 8, ""633.0"": 3, ""516.3"": 11, ""580.0"": 20, ""522.35"": 12, ""805.0"": 10, ""740.0"": 1, ""907.7"": 3, ""805.55"": 10, ""938.0"": 1, ""758.05"": 7, ""850.1"": 10, ""780.0"": 15, ""1204.0"": 4, ""1051.0"": 6, ""942.1"": 1, ""1351.75"": 25, ""1182.0"": 1, ""1384.0"": 19, ""1285.0"": 4, ""1280.0"": 5, ""1415.0"": 13, ""1332.0"": 6, ""1398.9"": 11, ""1365.6"": 26, ""1552.8"": 4, ""1312.15"": 11, ""1970.0"": 1}"
COFORGE,"{""1595.5"": 5, ""1418.65"": 10, ""1643.3"": 3, ""2059.5"": 2, ""1985.75"": 5, ""735.35"": 1, ""1019.4"": 2, ""1573.0"": 9, ""1302.0"": 1, ""2079.0"": 2, ""1880.5"": 6, ""2814.0"": 7, ""2077.5"": 2, ""2305.0"": 7, ""2909.55"": 3, ""2325.05"": 6, ""2699.9"": 5, ""2300.0"": 3, ""3222.9"": 5, ""2785.0"": 1, ""3544.8"": 10, ""5230.0"": 12, ""5832.95"": 14, ""5001.0"": 36, ""6030.0"": 10, ""4726.6"": 21, ""5937.55"": 7, ""6135.0"": 9, ""4371.0"": 15, ""4188.55"": 9, ""4873.85"": 9, ""4084.1"": 17, ""4605.0"": 10, ""3353.0"": 7, ""3218.1"": 4, ""3828.0"": 17, ""3331.75"": 7, ""4058.6"": 16, ""3659.5"": 15, ""3210.05"": 1, ""3950.0"": 24, ""3640.0"": 10, ""4265.0"": 9, ""3702.3"": 14, ""4512.0"": 10, ""4000.3"": 15, ""3564.75"": 11, ""3752.0"": 16, ""4220.0"": 8, ""5054.85"": 11, ""4703.0"": 11, ""5762.7"": 11, ""4756.55"": 15, ""6530.0"": 6, ""5841.55"": 16, ""6789.0"": 2, ""6102.65"": 6, ""6847.45"": 4, ""5462.15"": 25, ""4287.25"": 9, ""4722.95"": 25, ""6425.0"": 12, ""5749.0"": 12, ""6710.05"": 4, ""10026.8"": 1}"
CONTROLPR,"{""318.05"": 4, ""217.0"": 13, ""225.2"": 20, ""301.0"": 4, ""249.0"": 11, ""289.9"": 3, ""145.1"": 1, ""188.5"": 4, ""213.0"": 48, ""211.75"": 12, ""181.1"": 1, ""229.45"": 12, ""257.4"": 3, ""248.65"": 14, ""251.0"": 8, ""200.3"": 17, ""269.8"": 16, ""232.0"": 16, ""255.25"": 16, ""220.0"": 21, ""292.0"": 2, ""230.1"": 27, ""401.0"": 9, ""395.0"": 10, ""345.65"": 23, ""412.0"": 11, ""350.05"": 19, ""325.05"": 10, ""374.35"": 11, ""315.6"": 6, ""293.0"": 2, ""370.5"": 10, ""302.1"": 5, ""368.0"": 19, ""329.0"": 10, ""445.0"": 17, ""334.6"": 15, ""423.45"": 14, ""494.0"": 5, ""386.6"": 11, ""491.7"": 5, ""460.0"": 13, ""390.65"": 9, ""460.95"": 5, ""521.95"": 1, ""449.2"": 12, ""416.2"": 9, ""458.0"": 9, ""405.0"": 12, ""433.5"": 20, ""375.0"": 22, ""490.0"": 8, ""539.9"": 1, ""623.0"": 5, ""578.0"": 5, ""670.0"": 6, ""605.65"": 6, ""867.95"": 15, ""728.2"": 6, ""896.35"": 10, ""932.2"": 11, ""837.95"": 17, ""1080.0"": 1, ""831.3"": 7, ""1019.9"": 4, ""858.0"": 14, ""891.05"": 9, ""796.4"": 14, ""879.0"": 11, ""779.2"": 7, ""887.65"": 8, ""768.0"": 6, ""869.95"": 14, ""780.0"": 6, ""856.2"": 16, ""640.1"": 11, ""671.35"": 6, ""757.0"": 9, ""692.05"": 4, ""770.95"": 7}"
CYIENT,"{""380.0"": 7, ""380.25"": 6, ""513.6"": 6, ""210.0"": 5, ""244.0"": 1, ""184.0"": 1, ""228.3"": 3, ""430.95"": 7, ""442.45"": 6, ""367.1"": 1, ""365.0"": 2, ""443.0"": 5, ""513.0"": 4, ""562.75"": 1, ""442.1"": 4, ""478.65"": 6, ""689.0"": 3, ""590.0"": 1, ""708.35"": 6, ""621.25"": 4, ""837.5"": 24, ""781.9"": 14, ""920.0"": 12, ""1092.0"": 9, ""902.2"": 9, ""888.5"": 7, ""1148.0"": 1, ""975.25"": 16, ""1292.0"": 4, ""1050.1"": 6, ""944.85"": 20, ""932.45"": 10, ""1084.0"": 8, ""783.95"": 22, ""966.3"": 11, ""800.55"": 29, ""720.0"": 1, ""744.45"": 7, ""848.0"": 22, ""725.4"": 3, ""886.55"": 14, ""723.8"": 1, ""872.7"": 10, ""867.0"": 8, ""780.7"": 20, ""917.95"": 11, ""831.5"": 20, ""985.0"": 21, ""910.0"": 16, ""1555.0"": 4, ""1392.1"": 3, ""1654.4"": 5, ""1945.0"": 17, ""1586.45"": 8, ""1798.2"": 22, ""1542.1"": 6, ""2458.95"": 1, ""2365.0"": 2, ""1872.4"": 16, ""1810.1"": 17, ""2190.0"": 10, ""1676.0"": 16, ""1936.0"": 12, ""1671.05"": 11, ""1940.0"": 13, ""1651.5"": 7, ""2157.45"": 5, ""1695.1"": 11, ""1930.45"": 13, ""1742.85"": 15, ""2112.0"": 5}"
DATAMATICS,"{""69.75"": 13, ""83.25"": 2, ""68.6"": 11, ""77.8"": 4, ""66.55"": 3, ""69.0"": 26, ""86.4"": 1, ""64.0"": 4, ""27.4"": 1, ""56.7"": 2, ""40.5"": 2, ""56.9"": 2, ""44.25"": 2, ""44.55"": 4, ""80.85"": 4, ""90.0"": 1, ""66.25"": 5, ""131.2"": 2, ""93.0"": 4, ""108.6"": 3, ""135.5"": 4, ""128.5"": 4, ""108.5"": 2, ""140.8"": 4, ""156.8"": 2, ""330.0"": 5, ""251.55"": 2, ""346.5"": 4, ""294.0"": 31, ""382.4"": 1, ""300.2"": 41, ""348.5"": 6, ""279.25"": 13, ""261.65"": 2, ""366.95"": 3, ""288.25"": 23, ""230.1"": 1, ""338.0"": 12, ""233.95"": 1, ""351.0"": 2, ""256.9"": 2, ""318.9"": 15, ""290.0"": 44, ""363.8"": 4, ""295.0"": 26, ""329.95"": 5, ""300.0"": 44, ""256.0"": 2, ""269.75"": 8, ""321.4"": 18, ""336.85"": 7, ""273.0"": 7, ""609.5"": 26, ""533.75"": 9, ""678.7"": 6, ""477.75"": 2, ""619.9"": 13, ""648.6"": 15, ""560.0"": 54, ""699.9"": 5, ""791.5"": 1, ""660.75"": 12, ""775.8"": 2, ""573.15"": 16, ""499.15"": 3, ""657.9"": 13, ""531.95"": 9, ""610.95"": 22, ""450.0"": 3, ""689.7"": 6, ""543.0"": 14, ""740.0"": 4, ""542.55"": 10, ""515.05"": 3, ""718.0"": 7}"
DRCSYSTEMS,"{""124.45"": 2, ""68.45"": 1, ""109.95"": 3, ""87.4"": 5, ""87.45"": 8, ""102.95"": 5, ""86.65"": 2, ""111.25"": 1, ""99.65"": 5, ""83.2"": 2, ""141.65"": 2, ""61.7"": 1, ""147.0"": 1, ""121.65"": 7, ""141.3"": 3, ""11.9"": 3, ""15.85"": 1, ""6.8"": 1, ""9.65"": 10, ""15.0"": 7, ""8.55"": 1, ""8.95"": 1, ""10.4"": 4, ""14.65"": 8, ""12.1"": 7, ""17.4"": 3, ""12.7"": 13, ""11.75"": 4, ""15.3"": 10, ""13.95"": 16, ""11.7"": 3, ""15.1"": 5, ""15.5"": 5, ""12.45"": 7, ""14.95"": 5, ""12.35"": 15, ""22.65"": 4, ""12.65"": 9, ""23.35"": 5, ""16.0"": 1, ""22.1"": 4, ""18.0"": 2, ""20.9"": 3, ""16.65"": 3, ""18.55"": 3, ""33.7"": 1, ""26.81"": 7, ""33.04"": 2, ""23.79"": 3, ""29.25"": 6, ""27.36"": 7, ""22.68"": 4, ""22.22"": 2, ""29.0"": 18, ""24.2"": 6, ""34.9"": 2}"
DSSL,"{""31.0"": 1, ""20.6"": 1, ""30.7"": 2, ""22.0"": 3, ""27.8"": 3, ""35.6"": 2, ""28.6"": 3, ""13.1"": 1, ""21.2"": 3, ""15.45"": 1, ""26.9"": 3, ""20.1"": 3, ""25.2"": 8, ""21.1"": 2, ""31.25"": 1, ""54.85"": 1, ""34.0"": 1, ""85.5"": 2, ""72.3"": 6, ""52.9"": 1, ""90.15"": 1, ""125.5"": 3, ""102.35"": 1, ""177.25"": 3, ""142.15"": 16, ""116.5"": 1, ""183.0"": 1, ""132.7"": 2, ""163.5"": 8, ""137.9"": 5, ""263.9"": 6, ""171.0"": 4, ""251.95"": 2, ""208.3"": 4, ""368.9"": 9, ""229.2"": 2, ""456.7"": 2, ""303.3"": 6, ""352.95"": 2, ""289.0"": 8, ""252.05"": 2, ""320.45"": 7, ""325.7"": 5, ""254.0"": 1, ""312.0"": 9, ""263.1"": 2, ""351.0"": 7, ""298.0"": 6, ""392.9"": 6, ""300.0"": 11, ""555.8"": 2, ""284.55"": 11, ""406.5"": 7, ""359.95"": 6, ""538.95"": 1, ""453.0"": 1, ""535.05"": 5, ""750.55"": 5, ""659.85"": 12, ""764.9"": 1, ""628.05"": 1, ""849.0"": 2, ""592.95"": 3, ""691.95"": 4, ""605.45"": 1, ""713.85"": 3, ""623.9"": 5, ""955.0"": 1, ""695.0"": 11, ""1087.0"": 1, ""1468.8"": 6, ""923.85"": 2, ""1115.05"": 2, ""1433.95"": 6, ""1051.05"": 2, ""1736.9"": 1, ""1155.15"": 4, ""1428.0"": 6, ""1540.95"": 4, ""1618.2"": 2}"
EMUDHRA,"{""236.3"": 2, ""398.9"": 2, ""384.0"": 1, ""287.8"": 4, ""357.7"": 6, ""301.15"": 9, ""297.35"": 2, ""336.8"": 6, ""251.05"": 9, ""206.8"": 1, ""448.0"": 11, ""360.65"": 4, ""510.9"": 2, ""430.2"": 8, ""534.8"": 1, ""452.1"": 15, ""416.0"": 3, ""491.0"": 6, ""508.0"": 2, ""415.0"": 5, ""544.6"": 1, ""833.5"": 4, ""843.95"": 5, ""706.7"": 3, ""831.85"": 4, ""673.85"": 2, ""915.9"": 10, ""835.05"": 5, ""927.7"": 8, ""716.05"": 3, ""830.0"": 6, ""992.95"": 2, ""847.0"": 5, ""1024.0"": 1}"
