token,symbol,levels,ltp
2031617,AVANTIFEED,"((598.5, '2024-01'), 16)",601.3
543745,MASTEK,"((3082.1, '2024-08'), 12)",3134.25
543745,MASTEK,"((3145.0, '2024-02'), 5)",3134.25
758529,SAIL,"((112.35, '2022-04'), 16)",112.77
2912513,MAHABANK,"((51.9, '2023-10'), 5)",51.79
3078145,ACI,"((689.0, '2023-10'), 13)",688.9
193793,CRISIL,"((5268.5, '2024-03'), 1)",5283.55
341249,HDFCBANK,"((1757.5, '2023-07'), 4)",1705.1
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1705.1
341249,HDFCBANK,"((1722.1, '2022-04'), 9)",1705.1
492033,KOTAKBANK,"((1721.0, '2021-12'), 70)",1722.75
492033,KOTAKBANK,"((1672.55, '2022-03'), 33)",1722.75
2995969,ALKEM,"((5520.0, '2024-02'), 3)",5515.15
2995969,ALKEM,"((5578.8, '2024-05'), 1)",5515.15
