token,symbol,levels,ltp
3887105,BRIGADE,"((1089.8, '2024-08'), 2)",1095.55
2031617,AVANTIFEED,"((564.0, '2020-12'), 21)",581.35
2031617,AVANTIFEED,"((587.0, '2020-08'), 12)",581.35
758529,SAIL,"((112.35, '2022-04'), 16)",111.84
873217,TATAELXSI,"((6411.2, '2024-06'), 12)",6374.55
2889473,UPL,"((506.6, '2023-10'), 13)",504.35
306177,KANSAINER,"((257.5, '2024-03'), 17)",259.25
341249,HDFCBANK,"((1722.1, '2022-04'), 9)",1692.75
341249,HDFCBANK,"((1757.5, '2023-07'), 4)",1692.75
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1692.75
81153,BAJFINANCE,"((6492.6, '2021-12'), 18)",6549.15
4576001,GODREJPROP,"((2598.0, '2021-10'), 1)",2595.3
4708097,RBLBANK,"((156.1, '2020-09'), 7)",154.73
4708097,RBLBANK,"((155.6, '2021-08'), 12)",154.73
492033,KOTAKBANK,"((1672.55, '2022-03'), 33)",1707.9
492033,KOTAKBANK,"((1721.0, '2021-12'), 70)",1707.9
2995969,ALKEM,"((5578.8, '2024-05'), 1)",5524.95
2995969,ALKEM,"((5520.0, '2024-02'), 3)",5524.95
