token,symbol,levels,ltp
2031617,AVANTIFEED,"((598.5, '2024-01'), 16)",595.6
895745,TATASTEEL,"((142.35, '2024-08'), 8)",142.78
2863105,IDFCFIRSTB,"((64.3, '2022-12'), 7)",64.15
3660545,PFC,"((477.8, '2024-02'), 6)",477.95
758529,SAIL,"((112.35, '2022-04'), 16)",112.83
6386689,LTF,"((140.2, '2023-07'), 8)",139.55
6386689,LTF,"((144.6, '2024-03'), 9)",139.55
519937,M&M,"((3013.5, '2024-06'), 2)",3012.95
2995969,ALKEM,"((5578.8, '2024-05'), 1)",5583.35
2995969,ALKEM,"((5520.0, '2024-02'), 3)",5583.35
