"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"71","Avenue Supermarts","DMART","P&F | F.A","-0.79%","3793.7","3,91,389"
"186","Bharat Forge Limited","BHARATFORG","P&F | F.A","-0.79%","1318.3","7,99,209"
"370","PCBL Ltd","PCBL","P&F | F.A","-0.79%","389.85","7,01,263"
"339","Berger Paints (i) Limited","BERGEPAINT","P&F | F.A","-0.83%","487.8","2,16,956"
"162","Bharti Airtel Limited","BHARTIARTL","P&F | F.A","-0.84%","1537.55","24,39,746"
"274","Sun Tv Network Limited","SUNTV","P&F | F.A","-0.84%","724.6","1,18,398"
"401","Pnc Infratech Limited","PNCINFRA","P&F | F.A","-0.84%","296.55","3,50,769"
"249","Motilal Oswal Financial Services Limited","MOTILALOFS","P&F | F.A","-0.85%","893.25","11,55,683"
"365","Rail Vikas Nigam Ltd","RVNL","P&F | F.A","-0.87%","415.85","27,93,010"
"125","Alkyl Amines Chemicals Limited","ALKYLAMINE","P&F | F.A","-0.88%","1937.2","14,565"
"332","Sumitomo Chemical India Ltd","SUMICHEM","P&F | F.A","-0.89%","516.25","1,85,665"
"343","Graphite India Limited","GRAPHITE","P&F | F.A","-0.89%","480.35","2,95,372"
"3","Honeywell Automation India Limited","HONAUT","P&F | F.A","-0.91%","41722.2","3,073"
"130","Hcl Technologies Limited","HCLTECH","P&F | F.A","-0.91%","1842","13,45,973"
"190","Bata India Limited","BATAINDIA","P&F | F.A","-0.91%","1295.4","1,68,686"
"230","Alembic Pharmaceuticals Limited","APLLTD","P&F | F.A","-0.93%","1018.45","86,562"
"30","Nuvama Wealth Management Ltd","NUVAMA","P&F | F.A","-0.94%","6664.4","56,655"
"275","Godrej Agrovet Ltd","GODREJAGRO","P&F | F.A","-0.94%","723.25","53,654"
"437","Aditya Birla Capital Ltd","ABCAPITAL","P&F | F.A","-0.94%","187.14","44,90,926"
"81","Navin Fluorine International Limited","NAVINFLUOR","P&F | F.A","-0.95%","3278.6","34,012"
"348","Mahindra Lifespace Developers Limited","MAHLIFE","P&F | F.A","-0.97%","468","74,122"
"69","Jk Cement Limited","JKCEMENT","P&F | F.A","-0.98%","3960","95,866"
"390","Adani Wilmar Ltd","AWL","P&F | F.A","-0.98%","327.8","5,07,217"
"430","Gujarat State Fertilizers & Chemicals Limited","GSFC","P&F | F.A","-1.01%","192.43","8,00,122"
"409","Campus Activewear Ltd","CAMPUS","P&F | F.A","-1.02%","271.8","4,83,382"
"129","ICICI Lombard General Insurance Company Ltd","ICICIGI","P&F | F.A","-1.03%","1844.2","4,47,850"
"252","Adani Energy Solutions Ltd","ADANIENSOL","P&F | F.A","-1.03%","870.6","11,86,495"
"271","Century Plyboards (india) Limited","CENTURYPLY","P&F | F.A","-1.03%","740.95","29,728"
"253","Syngene International Limited","SYNGENE","P&F | F.A","-1.04%","852.65","2,70,984"
"363","Iifl Holdings Limited","IIFL","P&F | F.A","-1.04%","417.75","3,80,287"
"168","Cipla Limited","CIPLA","P&F | F.A","-1.06%","1483.85","9,68,026"
"359","Aarti Industries Limited","AARTIIND","P&F | F.A","-1.06%","433.6","8,83,722"
"496","Easy Trip Planners Ltd","EASEMYTRIP","P&F | F.A","-1.06%","29.78","72,17,941"
"435","Capri Global Capital Limited","CGCL","P&F | F.A","-1.07%","189.44","66,095"
"317","Krishna Institute of Medical Sciences Ltd","KIMS","P&F | F.A","-1.08%","554.05","1,11,016"
"26","Apollo Hospitals Enterprise Limited","APOLLOHOSP","P&F | F.A","-1.11%","6784.5","1,65,291"
"217","Finolex Cables Limited","FINCABLES","P&F | F.A","-1.11%","1124.75","63,939"
"113","Srf Limited","SRF","P&F | F.A","-1.12%","2210.15","1,04,363"
"372","Bls International Services Limited","BLS","P&F | F.A","-1.13%","384.85","6,74,303"
"220","Jyoti CNC Automation Ltd","JYOTICNC","P&F | F.A","-1.17%","1101.65","1,85,939"
"464","Lemon Tree Hotels Ltd","LEMONTREE","P&F | F.A","-1.17%","120.34","35,13,793"
"11","Oracle Financial Services Software Limited","OFSS","P&F | F.A","-1.18%","11629.65","92,514"
"143","C.E. Info Systems Ltd","MAPMYINDIA","P&F | F.A","-1.21%","1720.95","54,991"
"399","Sapphire Foods India Ltd","SAPPHIRE","P&F | F.A","-1.21%","303.35","48,380"
"493","Shree Renuka Sugars Limited","RENUKA","P&F | F.A","-1.22%","39.59","43,35,187"
"350","CIE Automotive India Ltd","CIEINDIA","P&F | F.A","-1.23%","465.9","90,908"
"50","L&t Technology Services Limited","LTTS","P&F | F.A","-1.24%","5106.1","51,116"
"449","Devyani International Ltd","DEVYANI","P&F | F.A","-1.24%","161.92","2,97,201"
"428","Sun Pharma Advanced Research Company Limited","SPARC","P&F | F.A","-1.25%","194.92","1,80,307"
"63","Sundaram Finance Limited","SUNDARMFIN","P&F | F.A","-1.26%","4125.75","20,768"
"45","Persistent Systems Limited","PERSISTENT","P&F | F.A","-1.3%","5639.7","2,35,866"
"320","Birlasoft Ltd","BSOFT","P&F | F.A","-1.3%","552","9,73,971"
"245","K.p.r. Mill Limited","KPRMILL","P&F | F.A","-1.31%","907.9","1,16,031"
"331","RHI Magnesita India Ltd","RHIM","P&F | F.A","-1.32%","521.4","66,357"
"40","Godfrey Phillips India Limited","GODFRYPHLP","P&F | F.A","-1.35%","6032.2","31,915"
"273","Happiest Minds Technologies Ltd","HAPPSTMNDS","P&F | F.A","-1.36%","725.8","4,83,947"
"369","V-guard Industries Limited","VGUARD","P&F | F.A","-1.36%","400.05","1,57,391"
"216","Axis Bank Limited","AXISBANK","P&F | F.A","-1.37%","1125.05","51,89,387"
"82","Timken India Limited","TIMKEN","P&F | F.A","-1.38%","3192.75","21,955"
"177","PVR Inox Ltd","PVRINOX","P&F | F.A","-1.38%","1441.35","3,39,495"
"103","Deepak Nitrite Limited","DEEPAKNTR","P&F | F.A","-1.39%","2601.9","5,15,239"
"153","Bajaj Finserv Limited","BAJAJFINSV","P&F | F.A","-1.39%","1617","7,02,176"
"179","Bharti Hexacom Ltd","BHARTIHEXA","P&F | F.A","-1.39%","1402","2,88,386"
"17","Solar Industries India Limited","SOLARINDS","P&F | F.A","-1.41%","9867.7","30,530"
"76","Ratnamani Metals & Tubes Limited","RATNAMANI","P&F | F.A","-1.41%","3469.75","21,937"
"233","Indusind Bank Limited","INDUSINDBK","P&F | F.A","-1.41%","1002.8","41,02,879"
"21","Coforge (Niit Tech)","COFORGE","P&F | F.A","-1.42%","7959.3","2,26,146"
"38","Sanofi India Limited","SANOFI","P&F | F.A","-1.44%","6090","6,076"
"159","Affle India Ltd","AFFLE","P&F | F.A","-1.45%","1557.25","1,25,898"
"375","Triveni Engineering & Industries Limited","TRIVENI","P&F | F.A","-1.47%","371.95","2,18,941"
"72","Beml Limited","BEML","P&F | F.A","-1.48%","3735","2,07,350"
"285","Westlife Development Ltd","WESTLIFE","P&F | F.A","-1.49%","695.35","57,744"
"329","Granules India Limited","GRANULES","P&F | F.A","-1.49%","525.95","10,83,894"
"225","Just Dial Limited","JUSTDIAL","P&F | F.A","-1.5%","1065.1","1,19,976"
"340","Minda Corporation Limited","MINDACORP","P&F | F.A","-1.5%","486.9","5,94,260"
"438","Gail (india) Limited","GAIL","P&F | F.A","-1.53%","186","96,13,361"
