Symbol,,
ZEEL,,"ZEEL,"
TIPSFILMS,,"TIPSFILMS,"
SAREGAMA,,"SAREGAMA,"
TIPSMUSIC,,"TIPSMUSIC,"
BALAJITELE,,"BALAJITELE,"
PNC,,"PNC,"
TVTODAY,,"TVTODAY,"
NDTV,,"NDTV,"
PVRINOX,,"PVRINOX,"
ENIL,,"ENIL,"
JAGRAN,,"JAGRAN,"
SUNTV,,"SUNTV,"
PFOCUS,,"PFOCUS,"
NETWORK18,,"NETWORK18,"
DBCORP,,"DBCORP,"
WONDERLA,,"WONDERLA,"
IMAGICAA,,"IMAGICAA,"
UFO,,"UFO,"
