Symbol
SENSEXIETF
JUNIORBEES
BANKBEES
PSUBANK
PSUBNKBEES
SHARIABEES
MOM50
NIFTYOILANDGAS
NIFTYCONSURDURBL
NIFTY500MULTICAP
NIFTYFINSRV2550
NIFTY200MOMENTM30
NIFTYALPHALOWVOL
NIFTYHEALTHCARE
NIFTYLARGEMID250
NIFTY100ESGSECLDR
NIFTYMICROCAP250
NIFTYINDDIGITAL
NIFTYTOTALMKT
NIFTYM150QLTY50
NIFTY100ESG
NIFTYINDIAMFG
NIFTYMIDSELECT
AUTOIETF
AUTOBEES
SILVERIETF
MAKEINDIA
SILVER
MIDCAP
SILVERBEES
MOMOMENTUM
GSEC5IETF
MIDCAPETF
LOWVOL1
MOLOWVOL
TNIDETF
MOHEALTH
MOM30IETF
HDFCNIF100
HDFCNEXT50
MNC
NIFTYQLITY
MOMENTUM
MOQUALITY
MOVALUE
HDFCSILVER
AXISILVER
HDFCQUAL
HDFCVALUE
HDFCGROWTH
HDFCMOMENT
HDFCPVTBAN
HDFCNIFIT
FINIETF
SILVER1
EBBETF0433
BANKETFADD
HDFCBSE500
HDFCMID150
HDFCSML250
GOLDETF
PSUBNKIETF
AXSENSEX
LOWVOL
GSEC10YEAR
SILVERETF
GOLDETFADD
SILVRETF
BANKETF
SENSEXADD
PVTBANKADD
PSUBANKADD
QUAL30IETF
NIFTY
NIFTYBEES
NIFTYFINSERVICE
NIFTYFMCG
NIFTYGROWSECT15
NIFTYMEDIA
NIFTYMETAL
NIFTYPSUBANK
NIFTYPVTBANK
NIFTY50VALUE20
GOLDBEES
GOLDSHARE
BSLGOLDETF
CNXNIFTYJUNIOR
CNXMIDCAP
CNXENERGY
CNXINFRA
CNXIT
CNXPHARMA
CNXREALTY
CNXSMALLCAP
BANKNIFTY
NIFMID150
MONIFTY500
SENSEXETF
ITETF
ALPHAETF
EGOLD
ESILVER
BBNPPGOLD
NIFTYBETF
BANKBETF
NIFITETF
NIF5GETF
NIF10GETF
HEALTHADD
HDFCPSUBK
LICNMID100
SMALLCAP
MOREALTY
NIFTYTATA25CAP
NIFTY200ALPHA30
NIFTYMULTIINFRA
NIFTYMULTIMFG
NIFTYM150MOMNTM50
NIFTYMIDSMLHLTH
MIDSMALL
NIFTYDIVOPPS50
NIFTYAUTO
NIFTY50PR1XINV
CNXPSE
NIFTYCONSUMPTION
NIFTY50TR1XINV
NIFTY200
NIFTY100
LOWVOLIETF
NIFTYCOMMODITIES
NIFTYCPSE
NIFTY50PR2XLEV
NIFTYMIDCAP50
NIFTY500
NIFTY50VALUE30
NIFTY50TR2XLEV
NIFTY50DIVPOINT
NIFTYSERVSECTOR
CNXMNC
SETFNIF50
ICICIB22
BBNPNBETF
SETFNIFBK
IDFNIFTYET
SETFGOLD
GOLD1
MON100
QGOLDHALF
SBISILVER
SBIETFQLTY
ABGSEC
INFRABEES
SETFNN50
AXISGOLD
AXISNIFTY
EVINDIA
HDFCGOLD
SBINEQWETF
MOM100
GOLDIETF
IVZINGOLD
LICNETFGSC
NEXT50IETF
LICMFGOLD
BSLNIFTY
HNGSNGBEES
IVZINNIFTY
BSE500IETF
UTINEXT50
GROWWEV
ABSLNN50ET
SETF10GILT
NETF
MODEFENCE
UTISXN50
TOP10ADD
EBANKNIFTY
BANKIETF
MOMENTUM50
PVTBANIETF
BANKPSU
GROWWDEFNC
NPBET
ABSLBANETF
NV20BEES
MID150BEES
CONSUMBEES
GROWWGOLD
DIVOPPBEES
LTGILTBEES
EMULTIMQ
EBBETF0430
MIDCAPIETF
NIFTYMS400MQ100
NEXT50
NIFTYINDDEFENCE
NIFTYMIDCAP150
NIFTYSML250MQ100
NIFTY100LOWVOL30
NIFTYCAPITALMKT
NIFTYGS15YRPLUS
NIFTYTOP10EW
NIFTYINDTOURISM
NIFTYMIDSMALLCAP400
NIFTY500MOMENTM50
NIFTYALPHA50
NIFTY50EQLWGT
NIFTYGSCOMPSITE
NIFTYGS10YR
NIFTY100EQLWGT
NIFTY200QUALITY30
NIFTYGS10YRCLN
NIFTYSMALLCAP250
NIFTYGS1115YR
NIFTYGS813YR
NIFTYSMALLCAP50
NIFTYGS48YR
ITBEES
EBBETF0425
EBBETF0431
ALPL30IETF
ITIETF
HDFCNIFBAN
UTIBANKETF
NV20
SBIETFIT
SBIETFPB
AXISBNKETF
ESG
MOGSEC
IT
SDL26BEES
AXISTECETF
GILT5YBEES
MAFANG
AXISHCETF
HEALTHIETF
NIF100IETF
PHARMABEES
NIF100BEES
SBIETFCON
BFSI
CPSEETF
FMCGIETF
AXISCETF
MASPTOP50
CONSUMIETF
TECH
EQUAL50ADD
BBETF0432
ALPHA
MONQ50
MIDQ50ADD
UTISENSETF
UTINIFTETF
LICNETFN50
LICNETFSEN
HDFCSENSEX
LICNFNHGP
BSLSENETFG
