"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"3","Torrent Power Limited","TORNTPOWER","P&F | F.A","2.37%","1407.3","7,21,914"
"2","Kei Industries Limited","KEI","P&F | F.A","-0.23%","3912.25","1,52,667"
"5","Gujarat State Petronet Limited","GSPL","P&F | F.A","-0.51%","333.75","6,12,241"
"6","Sun Pharma Advanced Research Company Limited","SPARC","P&F | F.A","-0.64%","158.43","4,10,181"
"4","Sun Tv Network Limited","SUNTV","P&F | F.A","-1.13%","631.65","12,25,935"
"1","Tata Consultancy Services Limited","TCS","P&F | F.A","-1.31%","4029.4","15,48,940"
