token,symbol,levels,ltp
4376065,CROMPTON,"((456.0, '2021-01'), 10)",453.55
3912449,KNRCON,"((343.9, '2021-09'), 6)",332.1
3912449,KNRCON,"((329.85, '2022-02'), 3)",332.1
418049,IPCALAB,"((1374.6, '2024-04'), 1)",1384.3
418049,IPCALAB,"((1383.1, '2021-09'), 1)",1384.3
381697,IFCI,"((71.8, '2024-02'), 1)",71.75
3849985,CERA,"((9740.0, '2023-09'), 1)",9689.75
873217,TATAELXSI,"((6992.05, '2023-08'), 27)",6929.35
7707649,ABFRL,"((322.0, '2022-04'), 14)",322.25
7707649,ABFRL,"((318.7, '2022-01'), 13)",322.25
341249,HDFCBANK,"((1641.0, '2021-02'), 44)",1637.7
4708097,RBLBANK,"((220.5, '2024-03'), 14)",218.72
4708097,RBLBANK,"((217.7, '2020-08'), 18)",218.72
4610817,WHIRLPOOL,"((2067.3, '2021-05'), 30)",2061.6
4923905,LAURUSLABS,"((440.0, '2022-01'), 18)",437.4
4923905,LAURUSLABS,"((436.8, '2022-06'), 15)",437.4
3471361,GRINDWELL,"((2495.0, '2023-08'), 1)",2462.2
3471361,GRINDWELL,"((2468.1, '2024-01'), 1)",2462.2
