token,symbol,levels,ltp
418049,IPCALAB,"((1374.6, '2024-04'), 1)",1367.55
873217,TATAELXSI,"((7947.0, '2023-06'), 16)",7922.45
3463169,GMRINFRA,"((94.35, '2024-02'), 2)",94.11
193793,CRISIL,"((4454.95, '2023-11'), 8)",4496.6
341249,HDFCBANK,"((1641.0, '2021-02'), 44)",1638.55
4632577,JUBLFOOD,"((652.35, '2022-10'), 3)",650.9
4708097,RBLBANK,"((221.3, '2021-11'), 15)",226.78
4708097,RBLBANK,"((226.4, '2021-07'), 15)",226.78
4524801,ALOKINDS,"((27.7, '2021-10'), 12)",27.8
5051137,GPPL,"((225.35, '2024-04'), 4)",226.92
3471361,GRINDWELL,"((2495.0, '2023-08'), 1)",2451.25
3471361,GRINDWELL,"((2468.1, '2024-01'), 1)",2451.25
