token,symbol,levels,ltp
3912449,KNRCON,"((343.9, '2021-09'), 6)",331.85
3912449,KNRCON,"((329.85, '2022-02'), 3)",331.85
381697,IFCI,"((71.8, '2024-02'), 1)",71.77
3849985,CERA,"((9740.0, '2023-09'), 1)",9790.35
211713,DEEPAKFERT,"((1062.0, '2022-10'), 1)",1052.0
873217,TATAELXSI,"((6992.05, '2023-08'), 27)",6926.5
2983425,LALPATHLAB,"((3285.1, '2021-10'), 3)",3290.1
2983425,LALPATHLAB,"((3399.3, '2021-04'), 9)",3290.1
3463169,GMRINFRA,"((94.35, '2024-02'), 2)",94.92
7707649,ABFRL,"((322.0, '2022-04'), 14)",317.3
7707649,ABFRL,"((318.7, '2022-01'), 13)",317.3
341249,HDFCBANK,"((1641.0, '2021-02'), 44)",1625.8
4632577,JUBLFOOD,"((643.1, '2021-02'), 9)",646.75
4632577,JUBLFOOD,"((652.35, '2022-10'), 3)",646.75
81153,BAJFINANCE,"((6801.0, '2023-08'), 31)",6735.35
4708097,RBLBANK,"((221.3, '2021-11'), 15)",228.1
4708097,RBLBANK,"((226.4, '2021-07'), 15)",228.1
4610817,WHIRLPOOL,"((2067.3, '2021-05'), 30)",2065.5
4923905,LAURUSLABS,"((444.7, '2024-01'), 13)",444.2
4923905,LAURUSLABS,"((440.0, '2022-01'), 18)",444.2
4923905,LAURUSLABS,"((436.8, '2022-06'), 15)",444.2
3471361,GRINDWELL,"((2495.0, '2023-08'), 1)",2466.1
3471361,GRINDWELL,"((2468.1, '2024-01'), 1)",2466.1
