token,symbol,levels,ltp
3912449,KNRCON,"((343.9, '2021-09'), 6)",343.35
3912449,KNRCON,"((329.85, '2022-02'), 3)",343.35
381697,IFCI,"((71.8, '2024-02'), 1)",71.88
3849985,CERA,"((9740.0, '2023-09'), 1)",9765.1
2863105,IDFCFIRSTB,"((75.05, '2024-03'), 9)",75.36
211713,DEEPAKFERT,"((1062.0, '2022-10'), 1)",1062.0
873217,TATAELXSI,"((6992.05, '2023-08'), 27)",6963.7
2983425,LALPATHLAB,"((3285.1, '2021-10'), 3)",3306.5
2983425,LALPATHLAB,"((3399.3, '2021-04'), 9)",3306.5
3463169,GMRINFRA,"((94.35, '2024-02'), 2)",95.01
306177,KANSAINER,"((301.0, '2023-11'), 23)",301.1
341249,HDFCBANK,"((1641.0, '2021-02'), 44)",1631.3
4632577,JUBLFOOD,"((652.35, '2022-10'), 3)",657.6
81153,BAJFINANCE,"((6801.0, '2023-08'), 31)",6743.6
4610817,WHIRLPOOL,"((2067.3, '2021-05'), 30)",2059.55
3471361,GRINDWELL,"((2495.0, '2023-08'), 1)",2469.1
3471361,GRINDWELL,"((2468.1, '2024-01'), 1)",2469.1
