token,symbol,levels,ltp
4376065,CROMPTON,"((456.0, '2021-01'), 10)",459.6
3912449,KNRCON,"((343.9, '2021-09'), 6)",341.4
3912449,KNRCON,"((329.85, '2022-02'), 3)",341.4
418049,IPCALAB,"((1374.6, '2024-04'), 1)",1386.75
418049,IPCALAB,"((1383.1, '2021-09'), 1)",1386.75
381697,IFCI,"((71.8, '2024-02'), 1)",71.74
3849985,CERA,"((9740.0, '2023-09'), 1)",9741.0
2863105,IDFCFIRSTB,"((75.05, '2024-03'), 9)",74.42
211713,DEEPAKFERT,"((1062.0, '2022-10'), 1)",1068.65
2983425,LALPATHLAB,"((3285.1, '2021-10'), 3)",3303.95
2983425,LALPATHLAB,"((3399.3, '2021-04'), 9)",3303.95
7707649,ABFRL,"((322.0, '2022-04'), 14)",319.5
7707649,ABFRL,"((318.7, '2022-01'), 13)",319.5
8042241,NBCC,"((117.9, '2024-02'), 2)",118.79
341249,HDFCBANK,"((1641.0, '2021-02'), 44)",1625.05
4632577,JUBLFOOD,"((652.35, '2022-10'), 3)",650.25
81153,BAJFINANCE,"((6801.0, '2023-08'), 31)",6735.85
4708097,RBLBANK,"((221.3, '2021-11'), 15)",224.34
4708097,RBLBANK,"((226.4, '2021-07'), 15)",224.34
4923905,LAURUSLABS,"((444.7, '2024-01'), 13)",446.2
3471361,GRINDWELL,"((2495.0, '2023-08'), 1)",2473.45
3471361,GRINDWELL,"((2468.1, '2024-01'), 1)",2473.45
