token,symbol,levels,ltp
4843777,VBL,"((624.8, '2024-02'), 6)",625.9
418049,IPCALAB,"((1383.1, '2021-09'), 1)",1393.0
3849985,CERA,"((9740.0, '2023-09'), 1)",9794.65
2863105,IDFCFIRSTB,"((75.05, '2024-03'), 9)",74.58
7707649,ABFRL,"((322.0, '2022-04'), 14)",321.9
7707649,ABFRL,"((318.7, '2022-01'), 13)",321.9
8042241,NBCC,"((117.9, '2024-02'), 2)",118.43
341249,HDFCBANK,"((1641.0, '2021-02'), 44)",1637.75
81153,BAJFINANCE,"((6801.0, '2023-08'), 31)",6863.6
149249,CANFINHOME,"((859.9, '2024-02'), 5)",861.3
