token,symbol,levels,ltp
4843777,VBL,"((624.8, '2024-02'), 6)",630.4
418049,IPCALAB,"((1383.1, '2021-09'), 1)",1392.8
381697,IFCI,"((71.8, '2024-02'), 1)",71.68
3849985,CERA,"((9740.0, '2023-09'), 1)",9773.0
7707649,ABFRL,"((322.0, '2022-04'), 14)",322.4
7707649,ABFRL,"((318.7, '2022-01'), 13)",322.4
8042241,NBCC,"((117.9, '2024-02'), 2)",117.33
193793,CRISIL,"((4454.95, '2023-11'), 8)",4498.15
341249,HDFCBANK,"((1641.0, '2021-02'), 44)",1639.95
4632577,JUBLFOOD,"((652.35, '2022-10'), 3)",656.9
81153,BAJFINANCE,"((6801.0, '2023-08'), 31)",6778.35
4708097,RBLBANK,"((221.3, '2021-11'), 15)",228.23
4708097,RBLBANK,"((226.4, '2021-07'), 15)",228.23
149249,CANFINHOME,"((859.9, '2024-02'), 5)",852.35
4524801,ALOKINDS,"((27.7, '2021-10'), 12)",27.87
3491073,JMFINANCIL,"((101.7, '2021-03'), 10)",102.55
4923905,LAURUSLABS,"((444.7, '2024-01'), 13)",447.9
3471361,GRINDWELL,"((2495.0, '2023-08'), 1)",2465.7
3471361,GRINDWELL,"((2468.1, '2024-01'), 1)",2465.7
