token,symbol,levels,ltp
348929,HINDALCO,"((715.25, '2024-06'), 2)",720.25
895745,TATASTEEL,"((149.85, '2021-08'), 11)",150.39
1894657,RAJESHEXPO,"((262.4, '2024-06'), 1)",264.2
1894657,RAJESHEXPO,"((261.0, '2024-03'), 1)",264.2
2889473,UPL,"((506.6, '2023-10'), 11)",508.75
2983425,LALPATHLAB,"((3399.3, '2021-04'), 12)",3309.9
2983425,LALPATHLAB,"((3285.1, '2021-10'), 12)",3309.9
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1714.55
341249,HDFCBANK,"((1725.0, '2021-10'), 4)",1714.55
341249,HDFCBANK,"((1757.5, '2023-07'), 3)",1714.55
341249,HDFCBANK,"((1722.1, '2022-04'), 7)",1714.55
341249,HDFCBANK,"((1721.4, '2023-12'), 7)",1714.55
4598529,NESTLEIND,"((2339.55, '2023-07'), 4)",2350.25
4598529,NESTLEIND,"((2327.45, '2024-06'), 6)",2350.25
4598529,NESTLEIND,"((2409.1, '2024-02'), 17)",2350.25
4923905,LAURUSLABS,"((444.7, '2024-01'), 16)",448.5
