token,symbol,levels,ltp
3912449,KNRCON,"((278.55, '2022-12'), 26)",278.0
3912449,KNRCON,"((269.4, '2022-08'), 34)",278.0
3912449,KNRCON,"((280.8, '2023-03'), 20)",278.0
7458561,INDUSTOWER,"((332.8, '2021-09'), 4)",334.7
758529,SAIL,"((112.35, '2022-04'), 15)",111.48
1716481,PAYTM,"((738.7, '2023-02'), 8)",744.45
873217,TATAELXSI,"((6992.05, '2023-08'), 29)",6990.65
6386689,LTF,"((144.6, '2024-03'), 6)",140.28
6386689,LTF,"((140.2, '2023-07'), 7)",140.28
2815745,MARUTI,"((11561.45, '2024-06'), 10)",11502.85
3400961,M&MFIN,"((265.7, '2023-02'), 21)",268.25
341249,HDFCBANK,"((1757.5, '2023-07'), 3)",1743.4
341249,HDFCBANK,"((1721.4, '2023-12'), 7)",1743.4
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1743.4
4632577,JUBLFOOD,"((586.95, '2023-12'), 12)",585.25
