token,symbol,levels,ltp
7712001,SAMMAANCAP,"((141.4, '2022-12'), 9)",140.29
2031617,AVANTIFEED,"((564.0, '2020-12'), 21)",567.1
2031617,AVANTIFEED,"((587.0, '2020-08'), 11)",567.1
895745,TATASTEEL,"((149.85, '2021-08'), 11)",149.38
1716481,PAYTM,"((738.7, '2023-02'), 8)",733.2
873217,TATAELXSI,"((6992.05, '2023-08'), 29)",7060.0
5619457,HFCL,"((117.8, '2024-02'), 5)",117.38
2889473,UPL,"((506.6, '2023-10'), 11)",510.15
2815745,MARUTI,"((11561.45, '2024-06'), 10)",11483.25
341249,HDFCBANK,"((1794.0, '2024-07'), 1)",1734.2
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1734.2
341249,HDFCBANK,"((1725.0, '2021-10'), 4)",1734.2
341249,HDFCBANK,"((1757.5, '2023-07'), 3)",1734.2
341249,HDFCBANK,"((1722.1, '2022-04'), 7)",1734.2
341249,HDFCBANK,"((1721.4, '2023-12'), 7)",1734.2
4632577,JUBLFOOD,"((586.95, '2023-12'), 12)",585.5
492033,KOTAKBANK,"((1740.0, '2020-02'), 74)",1749.85
2393089,IOB,"((51.1, '2023-10'), 1)",51.08
3930881,RECLTD,"((524.0, '2024-02'), 4)",523.65
