token,symbol,levels,ltp
233729,EQUITASBNK,"((71.2, '2021-10'), 6)",70.61
895745,TATASTEEL,"((149.85, '2021-08'), 11)",148.98
873217,TATAELXSI,"((6992.05, '2023-08'), 29)",6966.4
6386689,LTF,"((144.6, '2024-03'), 6)",144.66
6386689,LTF,"((144.6, '2024-06'), 6)",144.66
6386689,LTF,"((140.2, '2023-07'), 7)",144.66
5619457,HFCL,"((117.8, '2024-02'), 5)",116.99
3937281,MANKIND,"((2490.0, '2024-04'), 3)",2504.25
341249,HDFCBANK,"((1757.5, '2023-07'), 3)",1749.65
341249,HDFCBANK,"((1721.4, '2023-12'), 7)",1749.65
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1749.65
3930881,RECLTD,"((524.0, '2024-02'), 4)",521.3
4923905,LAURUSLABS,"((444.7, '2024-01'), 16)",447.3
3471361,GRINDWELL,"((2149.15, '2023-02'), 26)",2166.45
