token,symbol,levels,ltp
784129,VEDL,"((475.75, '2024-05'), 1)",475.0
7712001,SAMMAANCAP,"((141.4, '2022-12'), 9)",142.18
2031617,AVANTIFEED,"((598.5, '2024-01'), 14)",598.95
3912449,KNRCON,"((305.5, '2023-11'), 7)",306.35
2912513,MAHABANK,"((51.9, '2023-10'), 3)",52.19
2889473,UPL,"((524.25, '2020-09'), 15)",523.2
2983425,LALPATHLAB,"((3399.3, '2021-04'), 12)",3296.8
2983425,LALPATHLAB,"((3285.1, '2021-10'), 12)",3296.8
519937,M&M,"((3013.5, '2024-06'), 1)",2998.2
2585345,GODREJCP,"((1314.3, '2024-02'), 5)",1313.5
5215745,COALINDIA,"((471.85, '2024-02'), 20)",469.65
7707649,ABFRL,"((322.0, '2022-04'), 20)",324.2
7707649,ABFRL,"((318.7, '2022-01'), 16)",324.2
341249,HDFCBANK,"((1794.0, '2024-07'), 1)",1728.7
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1728.7
341249,HDFCBANK,"((1725.0, '2021-10'), 4)",1728.7
341249,HDFCBANK,"((1757.5, '2023-07'), 3)",1728.7
341249,HDFCBANK,"((1722.1, '2022-04'), 7)",1728.7
341249,HDFCBANK,"((1721.4, '2023-12'), 7)",1728.7
4598529,NESTLEIND,"((2339.55, '2023-07'), 4)",2354.65
81153,BAJFINANCE,"((6801.0, '2023-08'), 31)",6780.9
878593,TATACONSUM,"((1016.25, '2024-06'), 2)",1017.05
558337,BOSCHLTD,"((36678.0, '2024-06'), 3)",36839.15
149249,CANFINHOME,"((859.9, '2024-02'), 10)",859.45
