token,symbol,levels,ltp
2031617,AVANTIFEED,"((564.0, '2020-12'), 21)",582.8
2031617,AVANTIFEED,"((587.0, '2020-08'), 11)",582.8
233729,EQUITASBNK,"((71.2, '2021-10'), 6)",70.81
895745,TATASTEEL,"((149.85, '2021-08'), 11)",148.97
2863105,IDFCFIRSTB,"((69.3, '2021-03'), 1)",68.79
2889473,UPL,"((524.25, '2020-09'), 15)",524.0
300545,GNFC,"((620.1, '2023-05'), 14)",624.6
341249,HDFCBANK,"((1794.0, '2024-07'), 1)",1734.6
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1734.6
341249,HDFCBANK,"((1725.0, '2021-10'), 4)",1734.6
341249,HDFCBANK,"((1757.5, '2023-07'), 3)",1734.6
341249,HDFCBANK,"((1722.1, '2022-04'), 7)",1734.6
341249,HDFCBANK,"((1721.4, '2023-12'), 7)",1734.6
878593,TATACONSUM,"((1016.25, '2024-06'), 2)",1022.7
492033,KOTAKBANK,"((1740.0, '2020-02'), 74)",1734.6
492033,KOTAKBANK,"((1672.55, '2022-03'), 33)",1734.6
492033,KOTAKBANK,"((1721.0, '2021-12'), 70)",1734.6
3471361,GRINDWELL,"((2149.15, '2023-02'), 26)",2151.3
