token,symbol,levels,ltp
784129,VEDL,"((475.75, '2024-05'), 1)",472.3
2031617,AVANTIFEED,"((564.0, '2020-12'), 21)",569.05
2031617,AVANTIFEED,"((587.0, '2020-08'), 11)",569.05
895745,TATASTEEL,"((149.85, '2021-08'), 11)",150.06
1716481,PAYTM,"((738.7, '2023-02'), 8)",744.45
2912513,MAHABANK,"((51.9, '2023-10'), 3)",52.02
873217,TATAELXSI,"((6992.05, '2023-08'), 29)",7038.95
6386689,LTF,"((144.6, '2024-03'), 6)",143.95
6386689,LTF,"((144.6, '2024-06'), 6)",143.95
6386689,LTF,"((140.2, '2023-07'), 7)",143.95
5619457,HFCL,"((117.8, '2024-02'), 5)",117.21
300545,GNFC,"((620.1, '2023-05'), 14)",616.7
341249,HDFCBANK,"((1757.5, '2023-07'), 3)",1751.85
341249,HDFCBANK,"((1721.4, '2023-12'), 7)",1751.85
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1751.85
4610817,WHIRLPOOL,"((2067.3, '2021-05'), 37)",2072.55
558337,BOSCHLTD,"((36678.0, '2024-06'), 3)",36416.55
149249,CANFINHOME,"((859.9, '2024-02'), 10)",862.6
