token,symbol,levels,ltp
348929,HINDALCO,"((715.25, '2024-06'), 2)",717.1
4843777,VBL,"((624.8, '2024-02'), 8)",628.75
895745,TATASTEEL,"((149.85, '2021-08'), 11)",148.78
1716481,PAYTM,"((738.7, '2023-02'), 8)",745.1
2889473,UPL,"((506.6, '2023-10'), 11)",510.1
2983425,LALPATHLAB,"((3285.1, '2021-10'), 12)",3255.7
3400961,M&MFIN,"((265.7, '2023-02'), 21)",267.55
341249,HDFCBANK,"((1794.0, '2024-07'), 1)",1735.8
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1735.8
341249,HDFCBANK,"((1725.0, '2021-10'), 4)",1735.8
341249,HDFCBANK,"((1757.5, '2023-07'), 3)",1735.8
341249,HDFCBANK,"((1722.1, '2022-04'), 7)",1735.8
341249,HDFCBANK,"((1721.4, '2023-12'), 7)",1735.8
4598529,NESTLEIND,"((2339.55, '2023-07'), 4)",2327.15
4598529,NESTLEIND,"((2327.45, '2024-06'), 6)",2327.15
4598529,NESTLEIND,"((2409.1, '2024-02'), 17)",2327.15
4610817,WHIRLPOOL,"((2309.95, '2020-07'), 13)",2290.4
878593,TATACONSUM,"((1016.25, '2024-06'), 2)",1014.55
