date,open,high,low,close,volume
2019-10,16225.85,16597.0,15599.75,16472.3,0
2019-11,16513.65,17175.4,16446.6,17063.2,0
2019-12,17146.65,17656.55,16802.35,17452.85,0
2020-01,17497.7,17743.2,17081.55,17219.6,0
2020-02,17177.1,17724.8,16256.1,16305.85,0
2020-03,16594.2,16675.95,10401.3,11876.8,0
2020-04,11848.3,13501.45,10913.6,13437.95,0
2020-05,12912.2,12915.35,11618.55,12567.35,0
2020-06,12796.4,14064.15,12636.05,13659.85,0
2020-07,13677.4,14992.8,13643.2,14499.55,0
2020-08,14467.9,15585.5,14184.8,15005.15,0
2020-09,15096.8,15251.9,13884.95,14550.45,0
2020-10,14697.5,16231.35,14685.6,15688.85,0
2020-11,15834.85,18424.7,15713.3,18192.35,0
2020-12,18282.85,19670.3,18122.25,19625.9,0
2021-01,19647.85,20850.95,19147.5,19205.05,0
2021-02,19391.35,22174.2,19288.15,20537.2,0
2021-03,20794.2,21680.65,20040.0,20561.4,0
2021-04,20722.85,21136.25,19628.3,20387.55,0
2021-05,20150.5,21637.5,20047.2,21612.85,0
2021-06,21692.95,22214.9,21368.95,21889.75,0
2021-07,21940.0,22309.7,21527.7,21930.6,0
2021-08,22080.9,24218.55,21981.55,24180.65,0
2021-09,24241.15,25374.1,24001.2,24619.25,0
2021-10,24496.0,25822.85,24328.25,24740.35,0
2021-11,24915.1,25536.15,23585.4,23997.3,0
2021-12,24127.1,24909.1,23177.15,24396.3,0
2022-01,24462.65,25807.3,23650.65,24333.35,0
2022-02,24647.65,25093.4,22611.8,23387.15,0
2022-03,23052.5,24356.1,21892.0,24210.9,0
2022-04,24155.1,25526.2,23069.05,23236.95,0
2022-05,22974.0,23297.8,21225.3,22464.4,0
2022-06,22433.85,22687.5,20292.75,21243.05,0
2022-07,21152.1,23476.45,21066.0,23452.05,0
2022-08,23568.35,24734.35,23367.45,24345.35,0
2022-09,23963.3,24975.65,22752.65,23379.9,0
2022-10,23328.7,24746.55,22963.3,24726.4,0
2022-11,24867.9,25770.05,24583.35,25693.45,0
2022-12,25888.95,25939.5,24241.2,24842.4,0
2023-01,24865.05,25134.85,23373.1,23671.25,0
2023-02,23889.05,24166.3,22885.65,22972.9,0
2023-03,23067.05,23659.35,22333.2,23037.0,0
2023-04,23114.8,23767.2,22975.7,23733.75,0
2023-05,23815.95,24382.4,23553.5,24192.1,0
2023-06,24255.9,24886.85,23969.05,24873.15,0
2023-07,24959.5,25660.25,24677.65,25294.1,0
2023-08,25336.9,25359.45,24527.35,24709.2,0
2023-09,24705.05,26120.3,24693.65,25124.9,0
2023-10,25101.0,25489.15,23940.65,24331.95,0
2023-11,24270.3,25631.75,24182.05,25596.35,0
2023-12,25664.45,27839.7,25641.85,27687.8,0
2024-01,27654.2,28259.95,26731.1,27385.7,0
2024-02,27435.55,28192.35,27097.1,27683.95,0
2024-03,27747.85,28278.0,27358.15,27843.65,0
2024-04,28034.85,28770.55,27355.1,28503.4,0
2024-05,28401.7,28940.65,27493.55,28178.35,0
2024-06,29282.2,30789.75,26535.15,30428.05,0
2024-07,30417.2,31626.25,30367.3,31458.3,0
2024-08,31513.4,32116.45,30328.15,32057.3,0
2024-09,32207.0,33791.15,31593.6,33007.5,0
2024-10,32945.5,33173.65,31509.75,31547.0,0
2024-11,31640.5,32351.45,30807.3,31964.85,0
2024-12,31994.0,33147.4,31809.25,32996.75,0
