stocks,levels
GENESYS,"{""49.15"": 3, ""20.85"": 1, ""64.0"": 10, ""42.05"": 2, ""136.0"": 2, ""659.9"": 3, ""397.1"": 4, ""664.7"": 3, ""283.45"": 5, ""266.0"": 3, ""298.55"": 14, ""738.9"": 9, ""420.55"": 12}"
HAPPSTMNDS,"{""1580.0"": 1, ""785.6"": 19, ""1136.0"": 7, ""763.25"": 11, ""1023.0"": 10, ""798.2"": 21, ""961.0"": 11, ""741.0"": 7, ""956.0"": 22, ""749.1"": 14}"
HCLTECH,"{""623.5"": 3, ""375.25"": 1, ""1067.0"": 22, ""1054.8"": 28, ""891.0"": 10, ""1377.75"": 5, ""1359.4"": 9, ""1070.2"": 21, ""877.35"": 6, ""1156.65"": 32, ""1016.25"": 9, ""1697.35"": 7, ""1235.0"": 12}"
HGS,"{""504.95"": 2, ""206.0"": 1, ""417.2"": 2, ""1777.5"": 2, ""1960.0"": 1, ""846.0"": 11, ""1698.6"": 2, ""1180.0"": 4, ""1480.0"": 9, ""1367.4"": 9, ""994.1"": 23, ""924.0"": 13, ""718.8"": 6, ""954.75"": 15, ""720.75"": 8, ""592.95"": 10}"
INDIAMART,"{""1431.25"": 1, ""820.5"": 1, ""1017.5"": 8, ""2743.75"": 20, ""4975.0"": 1, ""3325.0"": 6, ""4855.35"": 1, ""1980.0"": 2, ""1838.0"": 2, ""2457.5"": 24, ""2043.5"": 11, ""3335.55"": 2, ""2611.4"": 35, ""2393.35"": 24, ""2230.0"": 28, ""3198.4"": 5}"
INFIBEAM,"{""15.1"": 30, ""6.5"": 2, ""18.5"": 14, ""28.4"": 12, ""18.35"": 11, ""29.2"": 5, ""19.75"": 16, ""26.5"": 6, ""24.0"": 7, ""12.5"": 6, ""20.35"": 23, ""12.85"": 6, ""16.95"": 7, ""13.7"": 15, ""42.5"": 1, ""25.25"": 10, ""34.19"": 4}"
INFY,"{""811.6"": 1, ""509.25"": 1, ""1953.9"": 15, ""1367.15"": 20, ""1631.35"": 9, ""1355.0"": 23, ""1672.6"": 22, ""1185.3"": 2, ""1518.4"": 31, ""1351.65"": 21, ""1733.0"": 30, ""1358.35"": 24, ""1718.0"": 29, ""2006.45"": 1}"
INTELLECT,"{""43.8"": 1, ""892.0"": 15, ""577.45"": 5, ""603.7"": 13, ""986.65"": 13, ""562.65"": 4, ""388.65"": 1, ""747.0"": 23, ""625.0"": 14, ""1199.0"": 1, ""813.35"": 12, ""1143.15"": 2, ""693.0"": 34, ""1079.0"": 12}"
IXIGO,{}
JUSTDIAL,"{""623.95"": 17, ""250.0"": 1, ""448.15"": 3, ""332.3"": 5, ""717.65"": 19, ""562.5"": 15, ""1047.7"": 6, ""722.35"": 16, ""1138.0"": 5, ""1051.0"": 10, ""644.55"": 9, ""957.55"": 17, ""945.0"": 13, ""520.0"": 2, ""535.2"": 6, ""685.0"": 8, ""565.0"": 22, ""879.0"": 12, ""693.05"": 9, ""768.0"": 26, ""1162.0"": 3, ""1395.0"": 1}"
KELLTONTEC,"{""19.4"": 2, ""6.55"": 2, ""87.0"": 8, ""92.0"": 6, ""39.3"": 1, ""135.0"": 4, ""59.05"": 15, ""41.9"": 2, ""98.7"": 6, ""72.5"": 31, ""128.4"": 2, ""85.0"": 15, ""184.3"": 1, ""128.5"": 2, ""177.5"": 2}"
KPITTECH,"{""112.5"": 7, ""34.35"": 1, ""385.3"": 1, ""801.0"": 4, ""440.4"": 2, ""764.2"": 2, ""1640.0"": 6, ""1764.0"": 7, ""1293.05"": 1, ""1928.7"": 1}"
KSOLVES,"{""376.7"": 1, ""147.5"": 1, ""217.0"": 13, ""146.3"": 1, ""202.4"": 9, ""160.05"": 10, ""259.5"": 2, ""178.0"": 5, ""723.5"": 1, ""733.7"": 1, ""510.2"": 22, ""477.8"": 10, ""637.0"": 4, ""470.0"": 1}"
LATENTVIEW,"{""368.1"": 24, ""305.25"": 1, ""421.45"": 13, ""320.0"": 4, ""310.45"": 1, ""430.0"": 15, ""567.1"": 1, ""444.0"": 11, ""575.0"": 3, ""520.25"": 15}"
LTIM,"{""2050.0"": 2, ""1210.0"": 1, ""4483.0"": 15, ""4450.0"": 17, ""3525.0"": 1, ""7588.8"": 1, ""3733.3"": 4, ""5046.0"": 19, ""5360.0"": 18, ""4121.0"": 25, ""4132.2"": 10, ""4989.05"": 17, ""6442.0"": 12, ""4513.55"": 14, ""6574.95"": 6, ""6767.95"": 10, ""5510.0"": 28}"
LTTS,"{""1780.0"": 4, ""995.0"": 1, ""3062.15"": 5, ""5955.5"": 1, ""5295.0"": 26, ""2924.2"": 9, ""3942.0"": 17, ""4318.7"": 15, ""3215.85"": 3, ""5873.35"": 4, ""4200.0"": 10, ""6000.0"": 1, ""4652.05"": 22}"
MAPMYINDIA,"{""1716.45"": 13, ""1128.8"": 15, ""1542.2"": 11, ""1235.0"": 5, ""984.05"": 1, ""2343.95"": 3, ""1600.0"": 12, ""2747.85"": 1, ""1513.0"": 7}"
MASTEK,"{""462.0"": 2, ""165.7"": 1, ""1464.45"": 1, ""3669.0"": 1, ""2412.0"": 15, ""2480.15"": 20, ""3413.1"": 1, ""1850.7"": 9, ""1490.15"": 3, ""1848.7"": 10, ""1475.1"": 1, ""2539.75"": 12, ""3145.0"": 5, ""2137.55"": 13, ""3082.1"": 16, ""2550.55"": 11, ""3375.0"": 4}"
MINDTECK,"{""9.15"": 1, ""35.6"": 11, ""21.05"": 7, ""49.55"": 1, ""107.05"": 18, ""240.15"": 7, ""155.2"": 3, ""76.7"": 7, ""128.95"": 6, ""80.0"": 8, ""141.35"": 3, ""95.2"": 12, ""223.6"": 4, ""134.7"": 3, ""368.0"": 1}"
MPHASIS,"{""901.95"": 4, ""575.0"": 1, ""3604.75"": 1, ""1841.05"": 10, ""2235.0"": 13, ""1605.05"": 11, ""2497.0"": 13, ""2014.1"": 20, ""2782.6"": 9, ""2132.0"": 12, ""3187.8"": 15, ""3237.95"": 13}"
MSTCLTD,"{""235.2"": 3, ""73.1"": 1, ""186.75"": 1, ""400.0"": 8, ""247.15"": 6, ""542.0"": 1, ""282.0"": 21, ""386.4"": 3, ""224.3"": 1, ""362.85"": 8, ""239.0"": 2, ""1165.0"": 1, ""691.1"": 6, ""1036.9"": 2, ""809.75"": 5}"
NAUKRI,"{""3130.0"": 4, ""1581.1"": 1, ""5880.0"": 9, ""4023.9"": 11, ""7465.4"": 12, ""3313.0"": 13, ""4624.9"": 22, ""4400.0"": 33, ""3308.2"": 11, ""4984.5"": 9, ""3972.05"": 10, ""5250.0"": 15}"
NETWEB,"{""738.6"": 1, ""2108.0"": 2, ""3060.0"": 2}"
NEWGEN,"{""124.9"": 3, ""48.0"": 1, ""166.6"": 3, ""377.5"": 1, ""322.5"": 10, ""253.4"": 10, ""335.85"": 2, ""217.8"": 8, ""161.9"": 3, ""215.0"": 10, ""150.0"": 8, ""901.05"": 3, ""676.05"": 1, ""1548.0"": 1}"
NIITLTD,"{""114.8"": 12, ""54.0"": 1, ""210.7"": 3, ""136.0"": 7, ""280.15"": 1, ""658.65"": 2, ""330.4"": 8, ""271.0"": 2, ""416.85"": 7, ""77.3"": 1, ""154.8"": 3, ""142.65"": 3, ""90.55"": 16, ""233.8"": 1}"
NIITMTS,"{""342.3"": 1, ""576.9"": 1, ""385.0"": 7, ""541.5"": 2, ""410.85"": 5}"
NINSYS,"{""424.45"": 3, ""308.0"": 1, ""649.15"": 1, ""419.95"": 5, ""450.35"": 8, ""690.9"": 1, ""642.25"": 1}"
NUCLEUS,"{""272.55"": 3, ""327.8"": 1, ""156.35"": 1, ""755.0"": 1, ""476.9"": 5, ""766.0"": 1, ""513.65"": 12, ""351.35"": 1, ""481.0"": 3, ""365.0"": 6, ""945.0"": 1, ""1822.95"": 1, ""1104.1"": 9, ""1645.0"": 2}"
NYKAA,"{""203.15"": 3, ""201.25"": 8, ""120.7"": 2, ""114.25"": 1, ""195.5"": 9, ""139.8"": 18, ""149.75"": 19, ""229.8"": 8, ""158.1"": 8}"
OFSS,"{""2096.2"": 3, ""2910.0"": 56, ""1266.0"": 1, ""2980.0"": 31, ""3160.0"": 11, ""2691.05"": 20, ""4905.0"": 1, ""2710.0"": 34, ""3184.95"": 9, ""2643.25"": 18, ""3055.0"": 18, ""4288.45"": 8, ""12619.0"": 3, ""13220.0"": 1}"
ONEPOINT,"{""1.0"": 1, ""1.4"": 30, ""2.95"": 14, ""7.35"": 3, ""14.75"": 5, ""13.65"": 3, ""8.8"": 1, ""19.1"": 7, ""14.9"": 8, ""70.0"": 15, ""44.65"": 1, ""77.5"": 1}"
ONWARDTEC,"{""77.0"": 1, ""34.3"": 1, ""74.6"": 1, ""113.55"": 8, ""282.9"": 16, ""211.95"": 1, ""429.5"": 11, ""222.0"": 3, ""357.45"": 6, ""271.0"": 11, ""663.0"": 2, ""480.55"": 9, ""740.0"": 1, ""334.3"": 13, ""508.0"": 4}"
ORIENTTECH,"{""247.05"": 1}"
PAYTM,"{""510.05"": 3, ""844.7"": 13, ""438.35"": 4, ""738.7"": 9, ""998.3"": 6, ""318.05"": 1, ""310.0"": 1, ""1062.95"": 1}"
PERSISTENT,"{""370.0"": 2, ""210.0"": 1, ""2493.75"": 11, ""1825.5"": 13, ""2477.0"": 17, ""1551.0"": 6, ""1546.0"": 4, ""2567.5"": 6, ""1981.0"": 16, ""2317.2"": 12, ""4450.0"": 3, ""3232.05"": 5, ""6788.9"": 1}"
POLICYBZR,"{""618.0"": 5, ""454.3"": 6, ""356.2"": 1, ""390.7"": 2, ""655.6"": 7, ""818.0"": 6, ""661.3"": 8, ""1966.5"": 2}"
QUICKHEAL,"{""147.35"": 7, ""63.1"": 1, ""183.3"": 22, ""144.0"": 9, ""318.9"": 2, ""214.0"": 16, ""257.0"": 2, ""170.5"": 16, ""141.0"": 22, ""225.0"": 17, ""125.0"": 18, ""599.7"": 7, ""390.0"": 3, ""825.0"": 1}"
