stocks,levels
HCLTECH,"{""623.5"": 3, ""375.25"": 1, ""1067.0"": 22, ""1054.8"": 28, ""891.0"": 10, ""1377.75"": 5, ""1359.4"": 9, ""1070.2"": 21, ""877.35"": 6, ""1156.65"": 32, ""1016.25"": 9, ""1697.35"": 7, ""1235.0"": 12}"
HDFCBANK,"{""1305.5"": 8, ""738.75"": 1, ""1157.95"": 1, ""1641.0"": 64, ""1353.0"": 21, ""1725.0"": 12, ""1722.1"": 12, ""1271.6"": 19, ""1702.4"": 17, ""1532.05"": 47, ""1757.5"": 8, ""1460.25"": 46, ""1721.4"": 13, ""1363.55"": 18, ""1794.0"": 9, ""1880.0"": 3}"
HDFCLIFE,"{""340.0"": 1, ""647.6"": 42, ""746.0"": 14, ""657.1"": 24, ""731.5"": 20, ""656.0"": 22, ""775.65"": 1, ""497.05"": 14, ""617.45"": 39, ""605.9"": 41, ""510.0"": 9, ""620.6"": 47, ""457.8"": 3, ""690.85"": 40, ""600.75"": 55, ""710.6"": 44, ""561.55"": 32, ""511.4"": 13, ""761.2"": 1}"
HEROMOTOCO,"{""2431.0"": 19, ""1375.0"": 1, ""3294.9"": 6, ""3529.05"": 3, ""2641.1"": 49, ""2990.0"": 22, ""2536.0"": 20, ""2210.0"": 18, ""2772.3"": 38, ""2046.85"": 3, ""2838.6"": 35, ""2402.75"": 26, ""2784.0"": 25, ""2146.0"": 4, ""4849.05"": 5, ""4168.15"": 8, ""5894.55"": 2, ""6246.25"": 1}"
HINDALCO,"{""221.2"": 1, ""84.9"": 2, ""203.15"": 8, ""551.85"": 4, ""407.1"": 19, ""636.0"": 8, ""308.95"": 2, ""504.0"": 8, ""381.0"": 12, ""620.5"": 12, ""496.35"": 12, ""715.25"": 5, ""772.65"": 1}"
HINDUNILVR,"{""1757.3"": 1, ""2614.3"": 30, ""2350.0"": 45, ""2000.05"": 16, ""2456.95"": 51, ""2120.0"": 40, ""2318.0"": 46, ""2859.3"": 4, ""1901.55"": 3, ""2428.1"": 39, ""2741.6"": 19, ""2393.0"": 58, ""2769.65"": 15, ""2442.9"": 41, ""2669.4"": 46, ""2172.05"": 49, ""3035.0"": 1}"
ICICIBANK,"{""552.2"": 8, ""268.3"": 1, ""333.75"": 5, ""679.4"": 5, ""531.15"": 20, ""867.0"": 23, ""836.0"": 10, ""642.15"": 14, ""669.95"": 5, ""958.2"": 21, ""796.0"": 12, ""1008.7"": 15, ""899.0"": 17, ""1362.35"": 1, ""1350.45"": 1}"
ITC,"{""134.6"": 1, ""209.4"": 33, ""163.35"": 6, ""239.2"": 21, ""199.1"": 13, ""265.3"": 13, ""207.0"": 41, ""361.45"": 4, ""499.7"": 14, ""425.5"": 29, ""481.45"": 14, ""399.35"": 3, ""402.85"": 6, ""528.5"": 1}"
INDUSINDBK,"{""1596.55"": 5, ""235.55"": 1, ""712.0"": 1, ""1119.5"": 18, ""811.0"": 9, ""1242.0"": 12, ""811.5"": 7, ""816.0"": 8, ""763.2"": 1, ""1275.8"": 16, ""1273.55"": 20, ""990.0"": 38, ""1694.5"": 1, ""1576.35"": 10, ""1498.0"": 34}"
INFY,"{""811.6"": 1, ""509.25"": 1, ""1953.9"": 15, ""1367.15"": 20, ""1631.35"": 9, ""1355.0"": 23, ""1672.6"": 22, ""1185.3"": 2, ""1518.4"": 31, ""1351.65"": 21, ""1733.0"": 30, ""1358.35"": 24, ""1718.0"": 29, ""2006.45"": 1}"
JSWSTEEL,"{""296.75"": 1, ""132.5"": 1, ""773.0"": 23, ""776.5"": 20, ""604.3"": 7, ""566.0"": 4, ""790.0"": 22, ""520.05"": 2, ""783.5"": 19, ""649.05"": 20, ""840.0"": 11, ""723.0"": 44, ""895.75"": 17, ""761.75"": 18, ""823.8"": 26, ""1063.0"": 1}"
KOTAKBANK,"{""1740.0"": 84, ""1001.0"": 1, ""1230.6"": 7, ""2049.0"": 6, ""1669.2"": 23, ""1626.0"": 19, ""2253.0"": 1, ""1721.0"": 73, ""1672.55"": 33, ""1951.75"": 43, ""1631.0"": 24, ""1997.55"": 18, ""1643.5"": 24, ""2064.4"": 5, ""1688.4"": 36, ""1926.5"": 42, ""1543.85"": 3, ""1942.0"": 35, ""1679.05"": 30}"
LTIM,"{""2050.0"": 2, ""1210.0"": 1, ""4483.0"": 15, ""4450.0"": 17, ""3525.0"": 1, ""7588.8"": 1, ""3733.3"": 4, ""5046.0"": 19, ""5360.0"": 18, ""4121.0"": 25, ""4132.2"": 10, ""4989.05"": 17, ""6442.0"": 12, ""4513.55"": 14, ""6574.95"": 6, ""6767.95"": 10, ""5510.0"": 28}"
LT,"{""1383.7"": 14, ""661.0"": 1, ""1024.95"": 1, ""843.0"": 4, ""1593.0"": 14, ""1306.0"": 17, ""2078.55"": 6, ""1456.35"": 13, ""2297.65"": 3, ""3919.9"": 4, ""3175.05"": 1, ""3262.55"": 4, ""3963.5"": 3}"
M&M,"{""589.85"": 11, ""245.4"": 1, ""952.05"": 2, ""724.65"": 6, ""979.0"": 2, ""671.15"": 1, ""1397.0"": 9, ""1123.4"": 2, ""1670.0"": 10, ""1450.0"": 2, ""3013.5"": 8, ""3222.1"": 5}"
MARUTI,"{""4001.1"": 1, ""7349.9"": 35, ""8329.0"": 18, ""6400.0"": 4, ""7698.0"": 30, ""6591.0"": 13, ""9050.0"": 12, ""6536.55"": 8, ""9769.0"": 13, ""8076.05"": 8, ""9030.45"": 17, ""8130.0"": 9, ""9737.65"": 9, ""13073.95"": 5, ""11561.45"": 11, ""13680.0"": 1, ""10725.0"": 16}"
NTPC,"{""125.0"": 8, ""73.2"": 1, ""108.0"": 13, ""78.1"": 3, ""152.1"": 4, ""119.1"": 28, ""166.35"": 18, ""134.95"": 23, ""182.95"": 4, ""182.2"": 2, ""313.95"": 8, ""448.45"": 1}"
NESTLEIND,"{""1220.0"": 1, ""1837.0"": 36, ""1510.0"": 7, ""1884.4"": 32, ""1600.2"": 18, ""2060.9"": 9, ""2002.5"": 20, ""1600.0"": 15, ""2105.0"": 4, ""1788.0"": 26, ""2339.55"": 6, ""2145.0"": 10, ""2769.3"": 2, ""2409.1"": 17, ""2327.45"": 10, ""2778.0"": 1}"
ONGC,"{""47.4"": 1, ""88.25"": 8, ""60.75"": 1, ""115.95"": 11, ""121.75"": 17, ""102.85"": 4, ""163.75"": 16, ""124.75"": 14, ""184.75"": 1, ""113.55"": 10, ""217.65"": 1, ""336.75"": 3, ""231.15"": 1}"
POWERGRID,"{""115.15"": 5, ""65.15"": 1, ""103.7"": 22, ""83.4"": 4, ""130.5"": 5, ""99.1"": 10, ""137.95"": 8, ""138.85"": 9, ""182.7"": 16, ""175.3"": 15, ""136.2"": 6, ""149.65"": 18, ""366.25"": 2}"
RELIANCE,"{""770.9"": 5, ""417.3"": 1, ""1129.2"": 36, ""872.2"": 2, ""1063.7"": 16, ""1311.3"": 16, ""1039.0"": 30, ""1361.25"": 9, ""1101.4"": 25, ""1313.0"": 15, ""1361.2"": 9, ""1110.15"": 20, ""1512.45"": 14, ""1359.3"": 13, ""1608.8"": 1, ""1201.5"": 40}"
SBILIFE,"{""519.4"": 1, ""921.75"": 15, ""755.25"": 8, ""1273.9"": 31, ""1293.25"": 41, ""1003.5"": 23, ""1340.35"": 18, ""1167.6"": 24, ""1330.0"": 18, ""1054.0"": 8, ""1569.4"": 10, ""1307.7"": 30, ""1936.0"": 1}"
SHRIRAMFIN,"{""266.4"": 29, ""85.75"": 1, ""158.6"": 4, ""111.1"": 4, ""307.0"": 1, ""305.9"": 5, ""243.2"": 23, ""339.3"": 3, ""200.4"": 5, ""301.8"": 6, ""229.2"": 16, ""283.9"": 22, ""238.0"": 13, ""438.6"": 2, ""730.45"": 1}"
SBIN,"{""149.45"": 1, ""231.55"": 4, ""175.5"": 2, ""427.7"": 21, ""542.3"": 10, ""443.0"": 7, ""549.0"": 7, ""425.0"": 24, ""430.7"": 19, ""629.55"": 3, ""499.35"": 16, ""621.9"": 11, ""543.2"": 13, ""912.0"": 1, ""731.95"": 6, ""875.45"": 4}"
SUNPHARMA,"{""312.0"": 1, ""564.75"": 3, ""452.25"": 11, ""851.0"": 14, ""733.7"": 1, ""967.05"": 17, ""789.9"": 11, ""1072.15"": 6, ""922.45"": 19, ""1169.7"": 5, ""1068.35"": 3, ""1638.85"": 1, ""1377.2"": 2, ""1960.35"": 2}"
TCS,"{""1506.05"": 1, ""3339.8"": 44, ""3989.9"": 22, ""4043.0"": 12, ""3391.1"": 37, ""2926.1"": 4, ""3575.0"": 29, ""3070.25"": 21, ""3311.0"": 48, ""4254.75"": 17, ""3591.5"": 21, ""4592.25"": 2, ""3913.25"": 22, ""4494.9"": 17}"
TATACONSUM,"{""403.0"": 6, ""211.1"": 1, ""584.7"": 2, ""878.1"": 11, ""642.2"": 11, ""826.6"": 23, ""688.45"": 16, ""850.6"": 27, ""729.75"": 28, ""678.15"": 7, ""1253.4"": 2, ""1016.25"": 6, ""1247.1"": 3, ""882.9"": 9}"
TATAMOTORS,"{""201.7"": 3, ""63.5"": 1, ""357.0"": 2, ""360.75"": 1, ""268.45"": 1, ""536.7"": 5, ""366.2"": 1, ""494.4"": 16, ""390.35"": 12, ""375.2"": 1, ""665.4"": 3, ""1065.6"": 7, ""855.4"": 1, ""1179.0"": 1}"
TATASTEEL,"{""47.0"": 2, ""149.85"": 21, ""102.55"": 35, ""135.05"": 10, ""79.1"": 1, ""110.1"": 17, ""120.7"": 17, ""97.95"": 8, ""131.4"": 18, ""111.0"": 15, ""181.0"": 2, ""142.35"": 10}"
TECHM,"{""817.9"": 13, ""443.4"": 1, ""1053.55"": 32, ""1810.0"": 2, ""915.7"": 11, ""1137.0"": 9, ""957.0"": 22, ""1136.7"": 10, ""953.05"": 24, ""1292.0"": 13, ""1070.15"": 24, ""1388.3"": 10, ""1134.95"": 9, ""1807.7"": 2}"
TITAN,"{""1341.05"": 4, ""720.9"": 1, ""1621.35"": 1, ""1400.05"": 3, ""2677.9"": 21, ""2768.0"": 11, ""1825.05"": 5, ""2791.0"": 5, ""2269.6"": 3, ""3886.95"": 1, ""3055.65"": 7, ""3867.0"": 4, ""3106.0"": 5}"
ULTRACEMCO,"{""4754.1"": 2, ""2910.0"": 1, ""4287.35"": 5, ""7055.95"": 16, ""7007.0"": 17, ""8269.0"": 25, ""5629.2"": 5, ""5157.05"": 10, ""6604.1"": 29, ""10526.0"": 4, ""9250.0"": 3, ""12138.0"": 2, ""12145.35"": 2}"
WIPRO,"{""78.15"": 1, ""229.15"": 18, ""362.7"": 1, ""356.3"": 1, ""182.55"": 5, ""172.55"": 4, ""217.6"": 9, ""183.85"": 8, ""267.65"": 16, ""204.45"": 35, ""284.3"": 11}"
