stocks,levels
DOLATALGO,"{""27.3"": 1, ""64.4"": 17, ""41.8"": 2, ""51.35"": 11, ""127.9"": 16, ""79.7"": 12, ""70.95"": 24, ""108.75"": 3, ""60.8"": 10, ""77.0"": 18, ""39.25"": 2, ""59.25"": 7, ""169.15"": 3, ""186.5"": 1}"
EDELWEISS,"{""20.35"": 1, ""58.65"": 5, ""33.7"": 7, ""56.55"": 6, ""61.95"": 8, ""38.25"": 23, ""68.1"": 13, ""43.45"": 30, ""33.35"": 1, ""49.2"": 24, ""52.25"": 15, ""33.75"": 8, ""35.0"": 6, ""87.8"": 1, ""62.35"": 9, ""87.65"": 1, ""59.41"": 8, ""145.53"": 1}"
FEDFINA,"{""108.75"": 3, ""111.0"": 5, ""120.0"": 17}"
FIVESTAR,"{""496.1"": 2, ""876.55"": 2, ""813.7"": 9, ""671.0"": 5, ""787.75"": 16, ""600.05"": 14, ""862.75"": 2, ""687.05"": 11, ""943.75"": 1, ""626.0"": 6}"
FUSION,"{""444.4"": 8, ""691.0"": 1, ""544.0"": 3, ""674.85"": 1, ""440.4"": 12}"
GICHSGFIN,"{""51.1"": 1, ""128.9"": 14, ""147.45"": 23, ""104.2"": 11, ""202.55"": 11, ""131.5"": 11, ""172.0"": 21, ""125.1"": 12, ""107.5"": 4, ""248.0"": 9, ""144.5"": 22, ""292.4"": 1, ""187.15"": 22, ""190.1"": 8, ""278.4"": 1}"
HBSL,"{""8.35"": 2, ""4.75"": 1, ""23.75"": 3, ""52.1"": 14, ""33.15"": 1, ""75.05"": 13, ""76.9"": 14, ""33.1"": 1, ""64.3"": 2, ""63.1"": 1, ""43.6"": 8, ""62.9"": 3, ""47.35"": 14, ""95.4"": 5, ""104.8"": 1, ""186.02"": 1, ""90.3"": 3}"
HDFCAMC,"{""1962.0"": 11, ""2070.05"": 22, ""3358.9"": 8, ""2699.65"": 12, ""3365.0"": 9, ""2480.0"": 22, ""1690.0"": 5, ""2218.85"": 15, ""2314.65"": 13, ""1589.5"": 1, ""4066.5"": 11, ""3415.55"": 9, ""4864.0"": 1}"
HOMEFIRST,"{""440.0"": 1, ""921.3"": 15, ""620.0"": 1, ""1004.55"": 18, ""652.0"": 3, ""808.0"": 20, ""654.6"": 3, ""804.25"": 23, ""1061.0"": 12, ""776.65"": 19, ""1383.3"": 1}"
HUDCO,"{""18.0"": 1, ""39.55"": 25, ""29.85"": 1, ""54.9"": 7, ""39.5"": 15, ""58.25"": 6, ""39.4"": 6, ""30.6"": 6, ""34.35"": 27, ""58.85"": 7, ""40.4"": 25, ""353.7"": 1, ""192.11"": 4, ""262.7"": 5}"
IEX,"{""67.95"": 4, ""38.65"": 1, ""67.3"": 4, ""73.1"": 9, ""60.35"": 10, ""318.65"": 1, ""192.0"": 9, ""251.5"": 4, ""152.4"": 28, ""129.25"": 12, ""125.8"": 16, ""163.75"": 17, ""116.0"": 5, ""121.35"": 5, ""173.35"": 13, ""130.2"": 9, ""134.15"": 29, ""244.4"": 6, ""159.11"": 18}"
IFCI,"{""3.1"": 1, ""8.4"": 4, ""11.5"": 36, ""16.0"": 12, ""16.4"": 5, ""10.55"": 23, ""18.85"": 1, ""10.8"": 13, ""8.25"": 3, ""9.4"": 17, ""16.65"": 9, ""9.0"": 18, ""71.8"": 8, ""91.4"": 1, ""49.72"": 2}"
IIFL,"{""206.8"": 3, ""56.5"": 1, ""96.05"": 3, ""336.4"": 11, ""230.25"": 2, ""364.15"": 6, ""258.45"": 6, ""261.7"": 8, ""384.65"": 2, ""522.6"": 7, ""396.35"": 10, ""683.25"": 1, ""536.45"": 2, ""304.3"": 10, ""560.6"": 8, ""391.25"": 6}"
INDIASHLTR,"{""725.1"": 27, ""521.0"": 1, ""799.0"": 1}"
INDOSTAR,"{""166.0"": 14, ""297.0"": 15, ""331.2"": 8, ""237.6"": 17, ""423.8"": 1, ""382.0"": 3, ""298.5"": 12, ""416.7"": 1, ""201.35"": 4, ""117.25"": 2, ""197.4"": 5, ""168.45"": 10, ""103.15"": 1, ""193.0"": 14, ""157.5"": 5, ""280.0"": 44, ""188.0"": 11, ""343.0"": 9, ""330.0"": 12}"
IREDA,"{""214.8"": 4, ""310.0"": 1}"
IRFC,"{""26.7"": 4, ""20.8"": 8, ""26.45"": 3, ""22.25"": 17, ""26.4"": 2, ""20.9"": 9, ""19.3"": 1, ""37.1"": 1, ""25.4"": 12, ""92.35"": 2, ""192.8"": 2, ""229.0"": 1, ""132.8"": 4, ""166.9"": 5}"
