stocks,levels
MAHSEAMLES,"{""223.8"": 1, ""92.3"": 1, ""133.5"": 4, ""96.8"": 8, ""177.2"": 9, ""132.5"": 1, ""455.0"": 5, ""279.5"": 9, ""1097.0"": 1, ""566.5"": 2, ""814.3"": 5}"
MAITHANALL,"{""624.0"": 1, ""289.05"": 1, ""622.7"": 9, ""725.0"": 4, ""1254.95"": 9, ""906.0"": 8, ""1595.9"": 1, ""777.0"": 6, ""1096.0"": 40, ""1148.8"": 24, ""766.55"": 4, ""1206.95"": 19, ""1335.5"": 1, ""955.0"": 32, ""1359.0"": 3, ""975.0"": 42, ""1239.85"": 19}"
MANINDS,"{""38.0"": 10, ""64.4"": 2, ""29.75"": 1, ""92.65"": 15, ""147.1"": 6, ""90.0"": 25, ""76.55"": 11, ""112.9"": 20, ""69.5"": 4, ""101.3"": 11, ""71.45"": 8, ""459.0"": 4, ""513.7"": 1, ""281.05"": 2, ""379.45"": 15}"
MUKANDLTD,"{""11.75"": 1, ""55.1"": 2, ""167.5"": 25, ""112.75"": 13, ""117.1"": 18, ""165.3"": 22, ""98.0"": 1, ""98.4"": 1, ""149.7"": 13, ""115.2"": 12, ""198.0"": 5, ""150.0"": 23, ""212.8"": 1, ""139.6"": 22, ""135.0"": 48, ""188.2"": 5}"
NATIONALUM,"{""48.75"": 4, ""24.4"": 1, ""40.05"": 6, ""29.1"": 5, ""127.95"": 4, ""132.7"": 5, ""83.8"": 27, ""86.55"": 4, ""106.35"": 5, ""147.15"": 4, ""262.99"": 1}"
NSLNISP,"{""59.75"": 9, ""39.15"": 3, ""73.7"": 1, ""51.9"": 15}"
PENIND,"{""31.5"": 7, ""11.4"": 1, ""20.9"": 14, ""14.8"": 1, ""27.0"": 11, ""16.2"": 14, ""42.9"": 6, ""25.7"": 6, ""48.0"": 6, ""31.05"": 3, ""70.3"": 10, ""86.0"": 3, ""66.45"": 3, ""163.4"": 2, ""106.4"": 10, ""204.12"": 7, ""162.27"": 5, ""227.7"": 2}"
POCL,"{""260.65"": 2, ""191.2"": 3, ""453.15"": 2, ""289.75"": 1, ""1190.0"": 1}"
PRAKASH,"{""64.8"": 10, ""18.55"": 2, ""51.9"": 24, ""104.75"": 1, ""60.75"": 17, ""50.1"": 9, ""87.5"": 4, ""45.1"": 16, ""61.65"": 11, ""47.5"": 12, ""71.45"": 9, ""48.75"": 9, ""203.0"": 9, ""223.6"": 2, ""128.15"": 5, ""138.0"": 4, ""237.0"": 1, ""147.9"": 1}"
PRECWIRE,"{""8.25"": 1, ""87.3"": 4, ""38.0"": 2, ""65.15"": 2, ""87.0"": 3, ""59.4"": 9, ""141.1"": 11, ""155.5"": 7, ""112.0"": 6, ""103.55"": 2, ""221.0"": 1}"
