stocks,levels
FORCEMOT,"{""960.35"": 13, ""1504.0"": 19, ""591.2"": 1, ""1231.0"": 20, ""1559.95"": 12, ""1060.0"": 30, ""1707.0"": 2, ""1740.0"": 1, ""970.1"": 10, ""1249.0"": 20, ""911.3"": 9, ""1603.9"": 2, ""1085.2"": 23, ""10277.85"": 1, ""7135.85"": 3, ""6150.0"": 2}"
GABRIEL,"{""39.5"": 1, ""127.0"": 13, ""134.95"": 20, ""96.2"": 4, ""168.15"": 11, ""107.0"": 31, ""102.0"": 12, ""200.9"": 3, ""129.45"": 7, ""443.95"": 4, ""271.55"": 1, ""559.55"": 1, ""539.85"": 6}"
GNA,"{""162.4"": 1, ""63.1"": 1, ""215.0"": 6, ""555.8"": 2, ""220.0"": 8, ""304.25"": 4, ""390.0"": 22, ""476.5"": 6, ""365.5"": 15, ""583.25"": 1, ""388.0"": 22, ""519.0"": 7, ""376.0"": 20, ""357.2"": 18, ""493.8"": 8, ""381.2"": 7}"
HEROMOTOCO,"{""2431.0"": 19, ""1375.0"": 1, ""3294.9"": 6, ""3529.05"": 3, ""2641.1"": 49, ""2990.0"": 22, ""2536.0"": 20, ""2210.0"": 18, ""2772.3"": 38, ""2046.85"": 3, ""2838.6"": 35, ""2402.75"": 26, ""2784.0"": 25, ""2146.0"": 4, ""4849.05"": 5, ""4168.15"": 8, ""5894.55"": 2, ""6246.25"": 1}"
HINDCOMPOS,"{""157.0"": 4, ""253.8"": 4, ""94.95"": 1, ""229.85"": 4, ""174.1"": 5, ""387.8"": 7, ""234.0"": 5, ""375.0"": 15, ""283.85"": 22, ""364.0"": 10, ""250.0"": 7, ""250.1"": 7, ""416.0"": 12, ""240.0"": 4, ""494.15"": 3, ""494.45"": 5, ""382.35"": 2, ""670.0"": 1, ""647.95"": 2}"
HYUNDAI,{}
JAMNAAUTO,"{""21.0"": 1, ""125.0"": 30, ""94.5"": 6, ""135.5"": 11, ""96.95"": 13, ""94.4"": 6, ""95.9"": 10, ""127.1"": 29, ""102.35"": 49, ""144.0"": 1, ""105.8"": 34, ""149.66"": 1}"
JAYBARMARU,"{""54.4"": 6, ""18.0"": 1, ""55.8"": 12, ""39.4"": 7, ""107.6"": 26, ""68.35"": 15, ""91.0"": 10, ""49.5"": 6, ""81.0"": 12, ""51.2"": 12, ""137.55"": 4, ""99.45"": 10, ""144.0"": 1, ""90.25"": 5, ""124.8"": 8}"
JBMA,"{""59.2"": 1, ""19.0"": 1, ""54.9"": 7, ""67.35"": 2, ""337.4"": 1, ""191.7"": 2, ""185.05"": 4, ""180.5"": 1, ""803.8"": 7, ""556.7"": 1, ""1214.2"": 1, ""1169.4"": 1}"
JKTYRE,"{""87.55"": 1, ""31.65"": 1, ""71.35"": 6, ""54.6"": 1, ""146.7"": 17, ""171.7"": 5, ""126.55"": 11, ""98.0"": 1, ""140.7"": 14, ""95.45"": 1, ""213.55"": 2, ""141.65"": 11, ""553.95"": 1, ""358.6"": 7, ""511.0"": 4}"
KROSS,"{""246.6"": 2}"
LGBBROSLTD,"{""235.6"": 8, ""369.9"": 1, ""145.2"": 1, ""287.9"": 9, ""361.5"": 1, ""282.0"": 10, ""545.75"": 10, ""736.0"": 11, ""515.45"": 6, ""507.05"": 5, ""805.0"": 9, ""606.85"": 3, ""1237.6"": 11, ""963.9"": 1, ""1425.0"": 7, ""1102.0"": 4, ""1129.0"": 7, ""1574.8"": 1}"
LUMAXTECH,"{""122.0"": 4, ""47.9"": 1, ""114.4"": 6, ""174.0"": 13, ""130.15"": 10, ""181.9"": 11, ""127.5"": 3, ""210.0"": 3, ""141.95"": 13, ""311.35"": 8, ""202.05"": 3, ""469.95"": 12, ""332.35"": 1, ""412.0"": 2, ""424.05"": 2, ""609.95"": 4, ""469.75"": 13}"
M&M,"{""589.85"": 11, ""245.4"": 1, ""952.05"": 2, ""724.65"": 6, ""979.0"": 2, ""671.15"": 1, ""1397.0"": 9, ""1123.4"": 2, ""1670.0"": 10, ""1450.0"": 2, ""3013.5"": 8, ""3222.1"": 5}"
MARUTI,"{""4001.1"": 1, ""7349.9"": 35, ""8329.0"": 18, ""6400.0"": 4, ""7698.0"": 30, ""6591.0"": 13, ""9050.0"": 12, ""6536.55"": 8, ""9769.0"": 13, ""8076.05"": 8, ""9030.45"": 17, ""8130.0"": 9, ""9737.65"": 9, ""13073.95"": 5, ""11561.45"": 11, ""13680.0"": 1, ""10725.0"": 16}"
MINDACORP,"{""122.0"": 4, ""52.75"": 1, ""83.8"": 2, ""65.1"": 2, ""148.1"": 2, ""114.35"": 6, ""287.0"": 7, ""163.5"": 3, ""253.7"": 4, ""188.0"": 6, ""246.45"": 3, ""185.0"": 6, ""449.95"": 6, ""365.85"": 1, ""652.0"": 1, ""469.05"": 4}"
MOTHERSON,"{""29.05"": 1, ""77.25"": 17, ""162.75"": 4, ""118.7"": 9, ""153.75"": 4, ""74.65"": 16, ""91.65"": 10, ""61.8"": 10, ""84.25"": 17, ""103.4"": 4, ""86.8"": 12, ""216.99"": 1}"
MRF,"{""73565.7"": 17, ""49915.1"": 1, ""67725.0"": 17, ""55300.0"": 3, ""98599.95"": 6, ""75950.0"": 38, ""87300.0"": 32, ""87550.0"": 27, ""63000.0"": 22, ""96000.0"": 4, ""81380.05"": 36, ""151445.0"": 2, ""116347.85"": 1, ""143849.9"": 9}"
MSUMI,"{""71.15"": 13, ""48.65"": 5, ""45.15"": 9, ""68.0"": 13, ""57.85"": 27, ""74.8"": 9, ""60.15"": 32, ""80.0"": 1, ""62.3"": 26}"
MUNJALAU,"{""55.25"": 22, ""18.15"": 1, ""68.8"": 4, ""52.0"": 32, ""70.4"": 3, ""48.6"": 9, ""72.8"": 2, ""51.45"": 27, ""36.0"": 11, ""57.3"": 26, ""35.6"": 4, ""66.2"": 8, ""50.5"": 34, ""115.0"": 5, ""71.15"": 1, ""74.7"": 1, ""145.7"": 2}"
NDRAUTO,"{""66.75"": 3, ""44.55"": 2, ""110.75"": 8, ""75.15"": 4, ""125.0"": 2, ""112.25"": 15, ""162.45"": 3, ""178.75"": 3, ""493.45"": 2, ""350.6"": 1, ""364.0"": 2, ""1039.95"": 1, ""626.05"": 1}"
OLAELEC,{}
OLECTRA,"{""41.45"": 1, ""80.7"": 1, ""78.45"": 2, ""55.0"": 2, ""232.05"": 1, ""166.1"": 3, ""941.2"": 3, ""535.0"": 7, ""374.1"": 1, ""1465.0"": 7, ""2221.95"": 1, ""1458.5"": 3, ""1960.0"": 6, ""1787.0"": 14}"
OMAXAUTO,"{""66.7"": 6, ""18.65"": 1, ""59.8"": 12, ""53.85"": 24, ""36.95"": 4, ""73.75"": 3, ""39.5"": 25, ""41.85"": 9, ""61.4"": 8, ""63.0"": 9, ""41.65"": 12, ""87.9"": 1, ""38.4"": 10, ""59.2"": 10, ""49.0"": 36, ""66.85"": 6, ""136.9"": 8, ""168.0"": 1}"
PPAP,"{""219.35"": 18, ""102.05"": 1, ""296.55"": 1, ""173.65"": 8, ""339.4"": 1, ""172.95"": 25, ""250.0"": 35, ""187.05"": 28, ""280.35"": 5, ""148.75"": 1, ""294.0"": 2, ""172.0"": 17, ""175.05"": 20, ""242.0"": 44, ""174.8"": 23, ""259.95"": 22}"
PRECAM,"{""21.7"": 1, ""43.7"": 11, ""51.9"": 1, ""38.0"": 18, ""189.75"": 13, ""85.3"": 1, ""145.0"": 8, ""88.95"": 6, ""125.0"": 6, ""88.0"": 5, ""319.0"": 4, ""282.1"": 3, ""177.95"": 6, ""172.65"": 6, ""382.8"": 1}"
PRICOLLTD,"{""59.1"": 1, ""24.2"": 1, ""57.3"": 3, ""106.7"": 9, ""74.25"": 6, ""139.5"": 4, ""100.5"": 6, ""149.5"": 3, ""88.9"": 7, ""174.75"": 8, ""211.0"": 2, ""330.05"": 8, ""542.5"": 6, ""432.0"": 9, ""598.8"": 1}"
PRITIKAUTO,"{""22.2"": 5, ""18.55"": 12, ""10.45"": 1, ""21.0"": 6, ""13.7"": 5, ""20.4"": 4, ""13.25"": 4, ""26.2"": 7, ""53.5"": 1, ""23.25"": 3, ""36.55"": 3, ""29.69"": 11}"
